Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
24.08.,Torres T.,2,,,,,,2,3,55%,61% (28/46),68% (25/37),25% (1/4),38% (20/53),60% (25/42),50% (7/14),29,32,71% (12/17),64% (53/83),47% (45/95),55% (98/178),8,0,79% (11/14),50% (7/14),64% (18/28),"['2', '1', '3', '2']","['2', '2', '4', '2']","['2', '1', '4', '1', '6', '1']",[],[],2.63
24.08.,McCormick T.,1,,,,,,2,2,56%,62% (33/53),40% (17/42),50% (7/14),39% (18/46),32% (12/37),75% (3/4),22,42,58% (11/19),53% (50/95),36% (30/83),45% (80/178),2,0,50% (7/14),21% (3/14),36% (10/28),"['2', '2', '5', '5']","['1', '0']",[],[],[],1.45
21.08.,Cacao T.,2,,,,,,"['3', '3']","['1', '0']","['4', '3', '6', '3']",[],[],3.04
21.08.,McCormick T.,1,,,,,,"['1', '0']",[],[],[],[],1.34
20.08.,McCormick T.,2,,,,,,"['2', '1']","['3', '2']",[],[],[],1.25
20.08.,Marques D.,1,,,,,,[],"['3', '3', '6', '4']",[],[],[],3.62
17.08.,Milavsky D.,2,,,,,,[],"['1', '0', '3', '0']",[],[],[],1.59
17.08.,McCormick T.,0,,,,,,[],"['3', '5']",[],[],[],20.5
16.08.,McCormick T.,2,,,,,,"['1', '0']","['4', '2']","['5', '4']",[],[],20.5
16.08.,Barroso Campos A.,1,,,,,,"['2', '2']",[],[],[],[],1.56
15.08.,McCormick T.,2,,,,,,"['1', '0']","['2', '1', '4', '1']",[],[],[],1.66
15.08.,Polmans M.,0,,,,,,[],[],[],[],[],20.5
14.08.,McCormick T.,2,,,,,,"['2', '0', '5', '1']",[],"['4', '4', '6', '4']",[],[],1.76
14.08.,Cacao T.,1,,,,,,[],[],"['4', '3']",[],[],21.0
12.08.,McCormick T.,2,,,,,,"['2', '1', '5', '2']","['4', '3']",[],[],[],1.71
12.08.,Graca J.,0,,,,,,[],[],[],[],[],20.0
05.08.,Pascual Ferra R.,2,,,,,,"['3', '4', '5', '4']","['1', '0', '4', '1']",[],[],[],1.49
05.08.,McCormick T.,0,,,,,,"['3', '1']",[],[],[],[],2.47
23.07.,Hernandez C.,2,,,,,,"['3', '1']","['1', '0', '4', '3']",[],[],[],4.31
23.07.,McCormick T.,0,,,,,,[],"['2', '2']",[],[],[],1.19
20.07.,Lopez Montagud C.,2,,,,,,"['5', '4']","['4', '3']","['2', '0']",[],[],1.42
20.07.,McCormick T.,1,,,,,,[],"['4', '4']","['1', '2']",[],[],2.69
19.07.,McCormick T.,2,,,,,,[],"['2', '0', '6', '2']","['2', '0', '5', '1']",[],[],1.17
19.07.,Helguera Casado L.,1,,,,,,"['4', '2']",[],[],[],[],4.52
18.07.,McCormick T.,2,,,,,,"['2', '1', '6', '3']","['3', '1', '5', '1', '6', '2']",[],[],[],2.94
18.07.,Barreto Sanchez D. A.,0,,,,,,[],"['2', '5']",[],[],[],1.36
17.07.,McCormick T.,2,,,,,,"['1', '0', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],2.59
17.07.,Manzanera Pertusa A.,0,,,,,,"['2', '2']",[],[],[],[],1.45
16.07.,McCormick T.,2,,,,,,"['3', '4', '4', '5', '6', '5']","['4', '5', '6', '5']",[],[],[],2.13
16.07.,Deschamps T.,0,,,,,,"['3', '1', '5', '3']","['4', '2']",[],[],[],1.65
08.07.,Watt J.,2,,,,,,12,2,59%,84% (36/43),73% (22/30),50% (1/2),29% (16/56),37% (10/27),20% (1/5),37,34,78% (21/27),79% (58/73),31% (26/83),54% (84/156),6,0,92% (11/12),8% (1/12),50% (12/24),"['2', '0']",[],[],[],[],1.50
08.07.,McCormick T.,0,,,,,,4,3,67%,71% (40/56),63% (17/27),80% (4/5),16% (7/43),27% (8/30),50% (1/2),19,21,100% (5/5),69% (57/83),21% (15/73),46% (72/156),4,0,92% (11/12),8% (1/12),50% (12/24),"['4', '5']",[],[],[],[],2.48
07.07.,McCormick T.,2,,,,,,6,5,65%,73% (51/70),57% (21/37),75% (6/8),25% (14/56),48% (19/40),50% (2/4),21,34,69% (11/16),67% (72/107),34% (33/96),52% (105/203),6,7,88% (14/16),13% (2/15),52% (16/31),[],"['2', '0']","['4', '5']",[],[],2.06
07.07.,Sheehy J.,1,,,,,,6,2,58%,75% (42/56),53% (21/40),50% (2/4),27% (19/70),43% (16/37),25% (2/8),33,51,50% (8/16),66% (63/96),33% (35/107),48% (98/203),4,1,87% (13/15),13% (2/16),48% (15/31),"['4', '3']",[],"['5', '3']",[],[],1.71
06.07.,McCormick T.,2,,,,,,9,3,71%,69% (44/64),58% (15/26),67% (6/9),35% (22/62),51% (18/35),50% (4/8),36,21,65% (15/23),66% (59/90),41% (40/97),53% (99/187),8,0,80% (12/15),25% (4/16),52% (16/31),"['3', '2']","['2', '3']","['2', '2', '7', '5']",[],[],1.29
06.07.,Bayldon B.,1,,,,,,5,8,64%,65% (40/62),49% (17/35),50% (4/8),31% (20/64),42% (11/26),33% (3/9),32,36,60% (35/58),59% (57/97),34% (31/90),47% (88/187),2,0,75% (12/16),20% (3/15),48% (15/31),[],"['3', '1', '4', '2']","['2', '1']",[],[],3.39
29.06.,Chappell N.,2,,,,,,9,1,55%,80% (51/64),60% (32/53),100% (8/8),21% (14/67),58% (15/26),33% (2/6),28,33,73% (11/15),71% (83/117),31% (29/93),53% (112/210),6,0,100% (16/16),13% (2/15),58% (18/31),[],[],[],[],[],2.38
29.06.,McCormick T.,1,,,,,,7,2,72%,79% (53/67),42% (11/26),67% (4/6),20% (13/64),40% (21/53),0% (0/8),30,36,69% (9/13),69% (64/93),29% (34/117),47% (98/210),4,0,87% (13/15),0% (0/16),42% (13/31),[],[],[],[],[],1.54
13.06.,Bouzige M.,2,,,,,,[],"['4', '2']",[],[],[],1.41
13.06.,McCormick T.,0,,,,,,[],[],[],[],[],2.73
12.06.,McCormick T.,2,,,,,,"['4', '4']","['3', '2', '6', '3']",[],[],[],3.32
12.06.,Shah A.,0,,,,,,"['3', '2']",[],[],[],[],1.29
10.06.,McCormick T.,2,,,,,,"['3', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],2.63
10.06.,Clark E.,0,,,,,,[],[],[],[],[],1.45
03.06.,Rubio Fierros A. F.,2,,,,,,"['2', '1', '3', '2']","['4', '3']",[],[],[],2.18
03.06.,McCormick T.,0,,,,,,"['2', '2']",[],[],[],[],1.62
21.05.,Andrade A.,2,,,,,,"['3', '1', '6', '4']","['1', '1', '3', '3', '6', '4']",[],[],[],1.11
