Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
20.08.,Sakellaridis S.,2,,,,,,8,2,64%,72% (42/58),59% (19/32),57% (4/7),32% (18/56),66% (23/35),83% (5/6),68% (61/90),45% (41/91),56% (102/181),8,0,80% (12/15),33% (5/15),57% (17/30),"['2', '1']","['5', '5']","['2', '0', '4', '0', '6', '0']",[],[],1.45
20.08.,Jones M.,1,,,,,,3,5,62%,68% (38/56),34% (12/35),17% (1/6),28% (16/58),41% (13/32),43% (3/7),55% (50/91),32% (29/90),44% (79/181),2,0,67% (10/15),20% (3/15),43% (13/30),"['3', '3']","['5', '4', '6', '5']",[],[],[],2.61
19.08.,Jones M.,2,,,,,,5,6,56%,67% (36/54),43% (18/42),58% (7/12),29% (15/51),63% (19/30),75% (6/8),19,39,57% (8/14),55% (52/94),42% (34/81),49% (86/175),8,0,69% (11/16),38% (6/16),53% (17/32),"['2', '0']","['4', '4']","['3', '3', '4', '4', '6', '4']",[],[],1.59
19.08.,Wiskandt M.,1,,,,,,9,5,63%,71% (36/51),37% (11/30),25% (2/8),33% (18/54),57% (24/42),42% (5/12),22,52,43% (3/7),58% (47/81),45% (42/94),51% (89/175),2,0,63% (10/16),31% (5/16),47% (15/32),"['3', '4', '6', '5']","['2', '1']","['2', '1', '4', '3']",[],[],20.5
14.08.,Brunclik P.,2,,,,,,5,2,72%,81% (29/36),50% (7/14),100% (4/4),41% (14/34),60% (18/30),33% (4/12),24,18,71% (5/7),72% (36/50),50% (32/64),60% (68/114),5,0,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '4', '1']","['2', '1', '4', '1']",[],[],[],1.58
14.08.,Jones M.,0,,,,,,0,3,53%,59% (20/34),40% (12/30),67% (8/12),19% (7/36),50% (7/14),0% (0/4),14,29,56% (9/16),50% (32/64),28% (14/50),40% (46/114),5,2,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],20.5
13.08.,Jones M.,2,,,,,,1,1,62%,81% (26/32),60% (12/20),0% (0/1),34% (11/32),64% (21/33),40% (4/10),18,21,78% (14/18),73% (38/52),49% (32/65),60% (70/117),8,0,90% (9/10),44% (4/9),68% (13/19),"['3', '1', '5', '1']","['3', '4', '6', '5']",[],[],[],20.5
13.08.,Papamalamis T.,0,,,,,,2,3,49%,66% (21/32),36% (12/33),60% (6/10),19% (6/32),40% (8/20),100% (1/1),10,31,38% (5/13),51% (33/65),27% (14/52),40% (47/117),2,0,56% (5/9),10% (1/10),32% (6/19),[],"['2', '0']",[],[],[],1.58
11.08.,Jones M.,2,,,,,,5,1,58%,76% (29/38),54% (15/28),75% (3/4),40% (12/30),42% (8/19),57% (4/7),17,25,56% (5/9),67% (44/66),41% (20/49),56% (64/115),6,0,90% (9/10),44% (4/9),68% (13/19),"['5', '5', '7', '5']","['2', '0', '5', '1']",[],[],[],1.50
11.08.,Cui J.,0,,,,,,0,0,61%,60% (18/30),58% (11/19),43% (3/7),24% (9/38),46% (13/28),25% (1/4),13,32,64% (7/11),59% (29/49),33% (22/66),44% (51/115),4,1,56% (5/9),10% (1/10),32% (6/19),"['2', '1']",[],[],[],[],20.5
