Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
18.02.,Glinka D.,2,,,,,,"['3', '4']","['2', '0', '7', '5']","['2', '0', '4', '0', '6', '0']",[],[],1.36
18.02.,Hoang A.,1,,,,,,"['4', '2', '5', '3']","['1', '2']",[],[],[],2.94
22.01.,Nagel A.,2,,,,,,[],[],"['1', '0', '3', '0']",[],[],2.94
22.01.,Hoang A.,1,,,,,,[],"['3', '1', '6', '2']",[],[],[],1.36
07.01.,Delage P.,2,,,,,,"['2', '0']","['3', '1', '6', '4']","['1', '1', '3', '3', '5', '3']",[],[],2.28
07.01.,Hoang A.,1,,,,,,"['3', '4', '5', '4']","['2', '3']","['1', '0', '3', '2']",[],[],1.57
16.10.2024,Papamalamis T.,2,,,,,,"['3', '2']","['2', '1', '4', '1', '5', '2']",[],[],[],1.73
16.10.2024,Hoang A.,0,,,,,,[],"['2', '4', '3', '5']",[],[],[],1.99
15.10.2024,Hoang A.,2,,,,,,"['2', '0', '3', '1']","['1', '0']",[],[],[],1.18
15.10.2024,Forcano I.,0,,,,,,"['1', '2']",[],[],[],[],4.38
05.10.2024,Papamalamis T.,2,,,,,,"['2', '0', '5', '3']","['5', '4']",[],[],[],1.64
05.10.2024,Hoang A.,0,,,,,,"['2', '3']",[],[],[],[],2.15
03.10.2024,Hoang A.,2,,,,,,"['4', '2', '5', '3']","['1', '0']","['3', '1', '5', '3']",[],[],1.30
03.10.2024,Welte M.,1,,,,,,"['3', '4']","['1', '1']","['3', '4']",[],[],3.26
02.10.2024,Hoang A.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['1', '1', '3', '1', '5', '1']",[],[],[],1.07
02.10.2024,Colne N.,0,,,,,,[],"['1', '0']",[],[],[],7.04
22.09.2024,Vincent Ruggeri S.,2,,,,,,3,1,49%,75% (15/20),62% (13/21),75% (3/4),50% (14/28),82% (14/17),43% (6/14),68% (28/41),62% (28/45),65% (56/86),8,0,86% (6/7),86% (6/7),86% (12/14),"['1', '0', '2', '1', '4', '1', '6', '1']","['2', '0', '5', '1']",[],[],[],1.45
22.09.2024,Hoang A.,0,,,,,,4,6,62%,50% (14/28),18% (3/17),57% (8/14),25% (5/20),38% (8/21),25% (1/4),38% (17/45),32% (13/41),35% (30/86),2,0,14% (1/7),14% (1/7),14% (2/14),"['1', '1']",[],[],[],[],2.63
12.09.2024,Sharipov M.,2,,,,,,"['2', '2', '4', '2']","['1', '0', '2', '1', '4', '1', '6', '1']",[],[],[],1.20
12.09.2024,Hoang A.,0,,,,,,"['1', '0']","['1', '1']",[],[],[],4.17
10.09.2024,Hoang A.,2,,,,,,"['1', '1']","['6', '4']","['5', '5', '7', '5']",[],[],1.44
10.09.2024,Brosset S.,1,,,,,,"['1', '0', '2', '1', '4', '1']",[],"['5', '4']",[],[],2.65
09.06.2024,Jorda Sanchis D.,2,,,,,,7,0,72%,76% (26/34),77% (10/13),100% (2/2),42% (11/26),62% (13/21),57% (4/7),77% (36/47),51% (24/47),64% (60/94),6,0,100% (8/8),57% (4/7),80% (12/15),"['2', '0', '4', '0', '6', '0']","['3', '1']",[],[],[],1.51
09.06.2024,Hoang A.,0,,,,,,0,5,55%,58% (15/26),38% (8/21),43% (3/7),24% (8/34),23% (3/13),0% (0/2),49% (23/47),23% (11/47),36% (34/94),4,0,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],2.47
23.02.2024,Masur D.,2,,,,,,[],"['3', '2']","['1', '0', '4', '1']",[],[],1.69
23.02.2024,Hoang A.,1,,,,,,"['6', '4']",[],[],[],[],2.09
22.02.2024,Hoang A.,2,,,,,,"['3', '1', '6', '2']","['6', '4']",[],[],[],1.28
22.02.2024,Rottoli L.,0,,,,,,[],[],[],[],[],3.43
20.02.2024,Hoang A.,2,,,,,,"['3', '2', '5', '2']","['2', '1', '6', '5']",[],[],[],1.49
20.02.2024,Kivattsev K.,0,,,,,,[],"['4', '4']",[],[],[],2.50
