Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
24.06.,Marti Pujolras A.,2,,,,,,"['2', '0', '4', '0', '5', '1']","['3', '2']",[],[],[],1.04
24.06.,Stirbu C. T.,0,,,,,,"['1', '4']",[],[],[],[],8.10
18.06.,Palosi S.,2,,,,,,"['1', '0', '4', '3', '5', '4']","['1', '0', '3', '0']",[],[],[],1.25
18.06.,Stirbu C. T.,0,,,,,,"['3', '3', '4', '4']",[],[],[],[],3.62
26.09.2024,Cina F.,2,,,,,,"['1', '0', '2', '1', '4', '3', '6', '3']","['5', '5', '6', '6']",[],[],[],1.11
26.09.2024,Stirbu C. T.,0,,,,,,"['1', '1', '3', '3']","['5', '4', '6', '5']",[],[],[],5.64
25.09.2024,Stirbu C. T.,2,,,,,,"['2', '0', '4', '0']","['1', '0']",[],[],[],1.16
25.09.2024,Konov S.,0,,,,,,[],[],[],[],[],4.62
15.09.2024,Negritu Ch.,2,,,,,,3,0,58%,59% (23/39),54% (15/28),20% (1/5),41% (15/37),57% (24/42),50% (5/10),57% (38/67),49% (39/79),53% (77/146),7,0,56% (5/9),38% (3/8),47% (8/17),[],[],[],[],[],1.12
15.09.2024,Stirbu C. T.,0,,,,,,2,4,47%,59% (22/37),43% (18/42),50% (5/10),41% (16/39),46% (13/28),80% (4/5),51% (40/79),43% (29/67),47% (69/146),3,1,63% (5/8),44% (4/9),53% (9/17),[],[],[],[],[],5.75
21.08.2024,De Vincentis M.,2,,,,,,[],[],"['2', '0', '4', '0']",[],[],1.88
21.08.2024,Stirbu C. T.,1,,,,,,[],"['2', '0']",[],[],[],1.83
20.08.2024,Stirbu C. T.,2,,,,,,"['5', '5']","['1', '0', '2', '3']","['6', '5']",[],[],3.24
20.08.2024,Karol M.,1,,,,,,"['4', '3']","['1', '1', '3', '1', '4', '2', '6', '2']","['6', '6']",[],[],1.31
17.08.2024,Tomescu D. A.,2,,,,,,"['2', '0', '5', '1']","['4', '3', '6', '3']",[],[],[],1.20
17.08.2024,Stirbu C. T.,0,,,,,,[],[],[],[],[],4.17
16.08.2024,Stirbu C. T.,2,,,,,,"['2', '0', '5', '3']","['1', '0', '5', '4']",[],[],[],1.68
16.08.2024,Breazu V. C.,0,,,,,,"['2', '3']","['1', '1']",[],[],[],2.10
15.08.2024,Stirbu C. T.,2,,,,,,"['2', '0', '3', '1']","['4', '5']","['2', '0', '4', '0']",[],[],2.61
15.08.2024,De Vincentis M.,1,,,,,,"['1', '2']","['5', '3']",[],[],[],1.45
13.08.2024,Stirbu C. T.,2,,,,,,"['1', '1', '3', '3', '5', '3']","['3', '2', '6', '5']","['2', '0', '6', '2']",[],[],1.31
13.08.2024,Mouilleron Salvo M.,1,,,,,,"['1', '0', '3', '2']","['3', '3', '6', '6']",[],[],[],3.24
07.08.2024,Schiessl J. E.,2,,,,,,"['1', '0', '3', '4', '6', '5']","['3', '2', '6', '3']",[],[],[],1.26
07.08.2024,Stirbu C. T.,0,,,,,,"['1', '1', '4', '2']",[],[],[],[],3.59
06.08.2024,Stirbu C. T.,2,,,,,,"['2', '2', '6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],1.91
06.08.2024,Agostini S.,0,,,,,,"['2', '1']",[],[],[],[],1.81
15.08.2023,Tomescu D. A.,2,,,,,,[],[],[],[],[],1.66
15.08.2023,Stirbu C. T.,0,,,,,,[],[],[],[],[],2.12
