Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Ostrava (Czech Republic) - Qualification,clay,header
27.04. 17:45,Brancaccio R.,1,6,3,1,,,4,2,45%,51% (21/41),49% (25/51),65% (11/17),28% (11/40),46% (17/37),33% (4/12),50% (46/92),36% (28/77),44% (74/169),1,0,50% (6/12),31% (4/13),40% (10/25),[],[],[],[],[],1.55
27.04. 17:45,Sels J.,2,3,6,6,,,1,5,52%,73% (29/40),54% (20/37),67% (8/12),49% (20/41),51% (26/51),35% (6/17),64% (49/77),50% (46/92),56% (95/169),9,0,69% (9/13),50% (6/12),60% (15/25),[],[],[],[],[],2.36
CHALLENGER MEN - SINGLES :  Rome (Italy) - Qualification,clay,header
20.04. 18:15,Brancaccio R.,0,2,4,,,,7,7,58%,58% (26/45),45% (15/33),67% (8/12),21% (7/33),44% (7/16),33% (1/3),53% (41/78),29% (14/49),43% (55/127),5,1,56% (5/9),11% (1/9),33% (6/18),[],[],[],[],[],1.30
20.04. 18:15,Vesely J.,2,6,6,,,,9,2,67%,79% (26/33),56% (9/16),67% (2/3),42% (19/45),55% (18/33),33% (4/12),71% (35/49),47% (37/78),57% (72/127),5,0,89% (8/9),44% (4/9),67% (12/18),[],[],[],[],[],3.38
ITF MEN - SINGLES :  M25 Santa Margherita di Pula 3 (Italy),clay,header
ITF MEN - SINGLES :  M25 Santa Margherita di Pula 2 (Italy),clay,header
ITF MEN - SINGLES :  M25 Tarragona (Spain),clay,header
CHALLENGER MEN - SINGLES :  Murcia (Spain),clay,header
19.03. 14:35,Brancaccio R.,1,6^3,7^8,3,,,6,2,56%,79% (44/56),57% (25/44),60% (3/5),18% (13/74),53% (16/30),25% (1/4),69% (69/100),28% (29/104),48% (98/204),2,4,88% (14/16),6% (1/17),45% (15/33),[],[],[],[],[],2.59
