Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
29.06.2022,Zukas M.,2,,,,,,5,2,59%,73% (30/41),71% (20/28),50% (2/4),33% (19/57),50% (10/20),50% (3/6),72% (50/69),38% (29/77),54% (79/146),85% (11/13),23% (3/13),54% (14/26),[],"['1', '0']","['1', '0', '3', '0']",[],[],2.63
29.06.2022,Menezes J.,1,,,,,,8,2,74%,67% (38/57),50% (10/20),50% (3/6),27% (11/41),29% (8/28),50% (2/4),62% (48/77),28% (19/69),46% (67/146),77% (10/13),15% (2/13),46% (12/26),"['4', '2', '6', '2']",[],[],[],[],1.46
28.06.2022,Menezes J.,2,,,,,,7,1,79%,82% (27/33),67% (6/9),0% (0/1),31% (10/32),64% (16/25),100% (4/4),79% (33/42),46% (26/57),60% (59/99),89% (8/9),44% (4/9),67% (12/18),"['4', '4', '6', '4']","['4', '2', '6', '2']",[],[],[],2.55
28.06.2022,Lama G.,0,,,,,,2,1,56%,69% (22/32),36% (9/25),0% (0/4),18% (6/33),33% (3/9),100% (1/1),54% (31/57),21% (9/42),40% (40/99),56% (5/9),11% (1/9),33% (6/18),"['2', '1']",[],[],[],[],1.43
22.06.2022,Vavassori A.,2,,,,,,6,3,58%,80% (28/35),52% (13/25),67% (2/3),43% (20/47),64% (14/22),57% (4/7),20,15,71% (22/31),68% (41/60),48% (33/69),57% (74/129),90% (9/10),44% (4/9),68% (13/19),"['3', '3', '7', '5']","['3', '1', '5', '1']",[],[],[],1.61
22.06.2022,Menezes J.,0,,,,,,0,4,68%,60% (28/47),36% (8/22),43% (3/7),17% (6/35),40% (10/25),33% (1/3),12,15,50% (17/34),52% (36/69),32% (19/60),43% (55/129),56% (5/9),10% (1/10),32% (6/19),"['3', '2']",[],[],[],[],2.31
20.06.2022,Menezes J.,2,,,,,,6,3,66%,72% (28/39),55% (11/20),0% (0/1),32% (9/28),52% (13/25),60% (3/5),19,18,60% (9/15),66% (39/59),42% (22/53),54% (61/112),90% (9/10),33% (3/9),63% (12/19),"['4', '2']","['3', '2', '5', '4']",[],[],[],3.42
20.06.2022,Travaglia S.,0,,,,,,2,2,53%,68% (19/28),48% (12/25),40% (2/5),28% (11/39),45% (9/20),100% (1/1),17,19,60% (6/10),58% (31/53),34% (20/59),46% (51/112),67% (6/9),10% (1/10),37% (7/19),[],"['3', '3']",[],[],[],1.32
16.05.2022,Stricker D.,2,,,,,,1,2,50%,69% (18/26),50% (13/26),75% (6/8),50% (11/22),64% (16/25),67% (6/9),23,16,60% (31/52),57% (27/47),55% (54/99),75% (6/8),75% (6/8),75% (12/16),"['1', '0', '2', '1', '5', '4']","['1', '0', '3', '0', '5', '0']",[],[],[],1.69
16.05.2022,Menezes J.,0,,,,,,0,4,47%,50% (11/22),36% (9/25),33% (3/9),31% (8/26),50% (13/26),25% (2/8),14,21,43% (20/47),40% (21/52),39% (39/99),25% (2/8),25% (2/8),25% (4/16),"['1', '1', '4', '4']",[],[],[],[],2.18
