Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
18.08.,Harris B.,2,,,,,,1,1,57%,66% (25/38),76% (22/29),50% (2/4),34% (13/38),56% (14/25),100% (5/5),70% (47/67),43% (27/63),57% (74/130),7,0,83% (10/12),42% (5/12),63% (15/24),[],"['2', '0', '5', '1']","['1', '0', '4', '1', '5', '2']",[],[],1.26
18.08.,Trotter J. K.,1,,,,,,4,1,60%,66% (25/38),44% (11/25),0% (0/5),34% (13/38),24% (7/29),50% (2/4),57% (36/63),30% (20/67),43% (56/130),3,3,58% (7/12),17% (2/12),38% (9/24),"['5', '3']",[],"['2', '4']",[],[],20.0
14.08.,Misolic F.,2,,,,,,7,3,68%,83% (35/42),70% (14/20),100% (1/1),19% (7/36),52% (13/25),25% (1/4),18,18,100% (2/2),79% (49/62),29% (17/58),55% (66/120),9,0,100% (11/11),10% (1/10),57% (12/21),"['5', '3']",[],[],[],[],1.52
14.08.,Trotter J. K.,0,,,,,,8,3,59%,81% (29/36),48% (12/25),75% (3/4),21% (9/42),30% (6/20),0% (0/1),19,32,70% (7/10),71% (41/58),21% (13/62),45% (54/120),1,0,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],21.5
13.08.,Trotter J. K.,2,,,,,,4,2,69%,75% (30/40),67% (12/18),0% (0/0),39% (13/33),37% (7/19),40% (2/5),16,23,54% (7/13),72% (42/58),38% (20/52),56% (62/110),5,0,100% (10/10),22% (2/9),63% (12/19),"['6', '4']","['4', '2']",[],[],[],20.5
13.08.,Landaluce M.,0,,,,,,5,2,63%,61% (20/33),63% (12/19),60% (3/5),25% (10/40),33% (6/18),0% (0/0),15,28,100% (3/3),62% (32/52),28% (16/58),44% (48/110),5,3,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],1.42
06.08.,Tirante T. A.,2,,,,,,6,4,52%,87% (33/38),49% (17/35),50% (1/2),26% (12/47),47% (21/45),43% (3/7),25,31,50% (1/2),68% (50/73),36% (33/92),50% (83/165),5,0,92% (12/13),25% (3/12),60% (15/25),"['3', '2', '5', '2']",[],"['3', '1']",[],[],1.58
06.08.,Trotter J. K.,1,,,,,,13,3,51%,74% (35/47),53% (24/45),57% (4/7),13% (5/38),51% (18/35),50% (1/2),32,41,53% (8/15),64% (59/92),32% (23/73),50% (82/165),5,0,75% (9/12),8% (1/13),40% (10/25),[],"['2', '0']",[],[],[],2.29
26.07.,Boyer T.,2,,,,,,9,2,60%,74% (35/47),65% (20/31),100% (2/2),26% (11/43),46% (13/28),33% (1/3),16,13,93% (13/14),71% (55/78),34% (24/71),53% (79/149),5,0,100% (11/11),10% (1/10),57% (12/21),[],"['3', '1']",[],[],[],1.90
26.07.,Trotter J. K.,0,,,,,,11,5,61%,74% (32/43),54% (15/28),67% (2/3),26% (12/47),35% (11/31),0% (0/2),22,18,82% (9/11),66% (47/71),29% (23/78),47% (70/149),5,1,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],1.90
18.07.,Spizzirri E.,2,,,,,,2,2,66%,69% (24/35),56% (10/18),80% (4/5),35% (14/40),77% (24/31),56% (5/9),15,16,63% (5/8),64% (34/53),54% (38/71),58% (72/124),8,0,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '3', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.71
18.07.,Trotter J. K.,0,,,,,,3,4,56%,65% (26/40),23% (7/31),44% (4/9),31% (11/35),44% (8/18),20% (1/5),19,33,50% (5/10),46% (33/71),36% (19/53),42% (52/124),2,0,38% (3/8),13% (1/8),25% (4/16),"['2', '2']",[],[],[],[],2.04
17.07.,Trotter J. K.,2,,,,,,20,5,53%,76% (44/58),65% (33/51),0% (0/1),24% (18/75),49% (17/35),29% (2/7),42,50,47% (8/17),71% (77/109),32% (35/110),51% (112/219),7,0,94% (16/17),12% (2/17),53% (18/34),[],[],"['3', '3', '6', '4']",[],[],2.40
17.07.,Kypson P.,1,,,,,,5,5,68%,76% (57/75),51% (18/35),71% (5/7),24% (14/58),35% (18/51),100% (1/1),28,46,60% (6/10),68% (75/110),29% (32/109),49% (107/219),3,0,88% (15/17),6% (1/17),47% (16/34),[],[],"['2', '1']",[],[],1.53
15.07.,Trotter J. K.,2,,,,,,11,5,54%,75% (38/51),45% (20/44),64% (7/11),34% (17/50),46% (18/39),50% (4/8),31,35,64% (7/11),61% (58/95),39% (35/89),51% (93/184),6,0,73% (11/15),29% (4/14),52% (15/29),[],"['3', '1', '7', '5']","['3', '3', '5', '3']",[],[],1.19
15.07.,Arseneault N.,1,,,,,,3,5,56%,66% (33/50),54% (21/39),50% (4/8),25% (13/51),55% (24/44),36% (4/11),23,36,83% (5/6),61% (54/89),39% (37/95),49% (91/184),4,1,71% (10/14),27% (4/15),48% (14/29),"['1', '0', '3', '0']","['2', '3']","['1', '0']",[],[],4.41
25.06.,Pavlovic L.,2,,,,,,16,4,60%,70% (62/89),58% (35/60),100% (17/17),27% (23/86),51% (19/37),33% (2/6),47,43,60% (27/45),66% (97/148),34% (42/123),51% (139/271),6,0,100% (16/16),12% (2/17),55% (18/33),3835,"['3', '2', '6', '3']",[],[],[],[],3.44
25.06.,Trotter J. K.,1,,,,,,9,7,70%,73% (63/86),49% (18/37),67% (4/6),30% (27/89),42% (25/60),0% (0/17),39,37,61% (37/61),66% (81/123),34% (51/148),49% (132/271),4,1,88% (15/17),0% (0/16),45% (15/33),4122,[],[],[],[],[],1.31
23.06.,Trotter J. K.,2,,,,,,6,2,66%,84% (36/43),50% (11/22),75% (3/4),41% (27/66),42% (8/19),25% (2/8),17,13,71% (10/14),72% (47/65),41% (35/85),55% (82/150),6,0,91% (10/11),18% (2/11),55% (12/22),5,"['5', '3']","['5', '4']",[],[],[],1.38
23.06.,Hemery C.,0,,,,,,6,1,78%,59% (39/66),58% (11/19),75% (6/8),16% (7/43),50% (11/22),25% (1/4),24,23,55% (22/40),59% (50/85),28% (18/65),45% (68/150),4,0,82% (9/11),9% (1/11),45% (10/22),3,"['4', '5']",[],[],[],[],3.04
16.06.,Barrios Vera T.,2,,,,,,2,1,73%,85% (28/33),67% (8/12),0% (0/0),42% (22/52),47% (14/30),33% (3/9),80% (36/45),44% (36/82),57% (72/127),8,0,100% (9/9),30% (3/10),63% (12/19),"['3', '2', '6', '3']","['6', '4']",[],[],[],2.21
16.06.,Trotter J. K.,0,,,,,,3,2,63%,58% (30/52),53% (16/30),67% (6/9),15% (5/33),33% (4/12),0% (0/0),56% (46/82),20% (9/45),43% (55/127),2,0,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],1.62
