Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
05.06.,Shin S.,2,,,,,,"['1', '2', '3', '4', '4', '5']","['2', '1', '5', '4']","['2', '1', '4', '1']",[],[],1.26
05.06.,Oh Chan-Yeong,1,,,,,,"['2', '0', '3', '1', '5', '3', '7', '5']","['4', '4']",[],[],[],3.54
04.06.,Oh Chan-Yeong,2,,,,,,"['2', '0', '6', '4']","['5', '3']",[],[],[],1.66
04.06.,Kim D. J.,0,,,,,,"['4', '5']",[],[],[],[],2.11
29.05.,Lee J. M.,2,,,,,,"['1', '0', '3', '2', '4', '3']","['1', '0', '5', '2']",[],[],[],1.33
29.05.,Oh Chan-Yeong,0,,,,,,"['2', '2', '3', '3']",[],[],[],[],3.09
28.05.,Oh Chan-Yeong,2,,,,,,"['4', '2']","['1', '1', '3', '1', '6', '2']","['2', '0']",[],[],1.19
28.05.,Ogura K.,1,,,,,,"['3', '4', '5', '4']","['1', '0']",[],[],[],4.24
23.05.,Delaney Ja.,2,,,,,,"['2', '1']","['3', '1', '6', '4']",[],[],[],1.64
23.05.,Oh Chan-Yeong,0,,,,,,"['2', '2']","['2', '3']",[],[],[],2.14
22.05.,Oh Chan-Yeong,2,,,,,,"['1', '2', '3', '2', '5', '2']","['1', '0', '2', '1', '4', '1']",[],[],[],1.68
22.05.,Masabayashi T.,0,,,,,,"['2', '0']","['1', '1']",[],[],[],2.09
21.05.,Oh Chan-Yeong,2,,,,,,"['2', '0', '4', '0']","['1', '0', '4', '1']",[],[],[],1.57
21.05.,Taka Y.,0,,,,,,"['2', '5']",[],[],[],[],2.28
25.03.,Oh Chan-Yeong,2,,,,,,"['3', '5', '5', '5', '7', '5']","['2', '0', '4', '0', '6', '0']",[],[],[],-
25.03.,De Cuyper J.,0,,,,,,"['2', '1', '5', '2']",[],[],[],[],-
19.03.,Nakagawa S.,2,,,,,,"['4', '2']","['2', '1']",[],[],[],1.70
19.03.,Oh Chan-Yeong,0,,,,,,[],[],[],[],[],1.98
14.03.,Kumasaka T.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '4', '1']","['1', '0', '5', '2']",[],[],1.37
14.03.,Oh Chan-Yeong,1,,,,,,[],"['2', '4', '4', '4', '6', '4']","['3', '5']",[],[],2.89
13.03.,Oh Chan-Yeong,2,,,,,,"['1', '1', '4', '2']","['1', '0', '3', '0', '6', '1']",[],[],[],1.30
13.03.,Lee J.,0,,,,,,"['1', '0']",[],[],[],[],3.30
11.03.,Oh Chan-Yeong,2,,,,,,"['2', '2']","['4', '2', '5', '3', '6', '4']","['2', '2', '4', '2', '5', '5']",[],[],1.36
11.03.,Park S.,1,,,,,,"['2', '1', '4', '3']","['3', '4', '4', '5']","['1', '0', '3', '4', '5', '4']",[],[],2.94
02.01.,Nakagawa S.,2,,,,,,"['2', '4', '5', '5']","['2', '1']","['3', '2']",[],[],1.58
02.01.,Oh Chan-Yeong,1,,,,,,"['2', '1', '4', '1']","['4', '4', '6', '4']","['5', '5']",[],[],2.26
31.12.2024,Oh Chan-Yeong,1,,,,,,"['2', '4', '4', '4']",[],[],[],[],1.85
31.12.2024,Forger A.,0,,,,,,"['1', '0', '3', '0']",[],[],[],[],1.85
12.12.2024,Safwat M.,2,,,,,,[],"['3', '1', '5', '1']",[],[],[],1.28
12.12.2024,Oh Chan-Yeong,0,,,,,,[],[],[],[],[],3.40
11.12.2024,Oh Chan-Yeong,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0']",[],[],[],1.04
11.12.2024,Bajurko A.,0,,,,,,[],[],[],[],[],8.50
04.12.2024,Ostapenkov D.,2,,,,,,"['1', '0', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],1.46
04.12.2024,Oh Chan-Yeong,0,,,,,,"['4', '4']",[],[],[],[],2.56
02.11.2024,Kikuchi Y.,2,,,,,,"['2', '2', '4', '2']","['2', '0', '3', '1', '4', '2']","['2', '1', '4', '3']",[],[],1.67
02.11.2024,Oh Chan-Yeong,1,,,,,,"['2', '1', '3', '4', '6', '5']","['1', '2', '2', '3']","['2', '2', '4', '4']",[],[],2.10
01.11.2024,Oh Chan-Yeong,2,,,,,,"['3', '3', '5', '3', '6', '4']","['2', '0', '5', '1']",[],[],[],1.29
01.11.2024,Shibano K.,0,,,,,,"['3', '2', '4', '5']",[],[],[],[],3.32
31.10.2024,Oh Chan-Yeong,2,,,,,,"['2', '0', '6', '2']","['2', '0', '6', '4']",[],[],[],1.07
31.10.2024,Horiuchi R.,0,,,,,,[],"['3', '4']",[],[],[],7.31
30.10.2024,Oh Chan-Yeong,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '4', '6', '5']",[],[],[],1.44
30.10.2024,Kimura K.,0,,,,,,[],"['2', '2', '4', '2']",[],[],[],16.0
22.10.2024,Okamura I.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '2', '1']",[],[],[],3.72
22.10.2024,Oh Chan-Yeong,0,,,,,,[],"['1', '1']",[],[],[],1.24
18.09.2024,Bobrov B.,2,,,,,,[],"['5', '3']","['2', '1']",[],[],1.54
18.09.2024,Oh Chan-Yeong,1,,,,,,"['3', '1']",[],[],[],[],2.36
17.09.2024,Oh Chan-Yeong,2,,,,,,[],"['5', '3']","['2', '1']",[],[],1.40
17.09.2024,Scaglia M.,1,,,,,,"['2', '0']",[],[],[],[],2.79
12.09.2024,Banerjee S.,2,,,,,,"['2', '0']","['1', '2', '5', '4']","['1', '0', '4', '1', '6', '1']",[],[],1.41
12.09.2024,Oh Chan-Yeong,1,,,,,,"['3', '4']","['2', '0']",[],[],[],2.75
23.08.2024,Delaney Ja.,2,,,,,,[],"['5', '5']","['3', '2']",[],[],1.33
23.08.2024,Oh Chan-Yeong,1,,,,,,[],"['4', '3']","['5', '5']",[],[],3.12
22.08.2024,Oh Chan-Yeong,2,,,,,,"['3', '3']","['5', '4']","['3', '1', '5', '1']",[],[],3.34
22.08.2024,Chanta T.,1,,,,,,"['1', '0']","['5', '5']",[],[],[],1.30
21.08.2024,Oh Chan-Yeong,2,,,,,,"['7', '5']","['2', '0']","['1', '0', '6', '3']",[],[],2.62
21.08.2024,Ichikawa T.,1,,,,,,[],"['3', '4']",[],[],[],1.45
