Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES :  French Open (France) - Qualification,clay,header
21.05. 17:50,Llamas Ruiz P.,0,5,6^6,,,,1,5,59%,62% (37/60),41% (17/41),56% (5/9),31% (14/45),49% (19/39),60% (3/5),29,42,67% (28/42),5,53% (54/101),39% (33/84),47% (87/185),3,67% (8/12),25% (3/12),46% (11/24),"['2', '1', '5', '4']","['6', '5']",[],[],[],1.70
21.05. 17:50,De Jong J.,2,7,7^8,,,,6,4,54%,69% (31/45),51% (20/39),40% (2/5),38% (23/60),59% (24/41),44% (4/9),29,29,65% (22/34),9,61% (51/84),47% (47/101),53% (98/185),4,75% (9/12),33% (4/12),54% (13/24),"['4', '4', '5', '5', '7', '5']","['6', '6']",[],[],[],2.15
CHALLENGER MEN - SINGLES :  Aix en Provence (France) - Qualification,clay,header
30.04. 14:40,Kukushkin M.,0,3,,,,,0,0,63%,60% (3/5),67% (2/3),0% (0/0),67% (4/6),80% (4/5),67% (2/3),4,63% (5/8),73% (8/11),68% (13/19),3,100% (1/1),100% (2/2),100% (3/3),"['1', '0', '3', '0']",[],[],[],[],2.56
30.04. 14:40,Llamas Ruiz P.,0,0,,,,,1,0,55%,50% (3/6),20% (1/5),33% (1/3),40% (2/5),33% (1/3),0% (0/0),2,27% (3/11),38% (3/8),32% (6/19),0,0% (0/2),0% (0/1),0% (0/3),[],[],[],[],[],1.48
29.04. 16:15,Llamas Ruiz P.,2,6,4,6,,,1,0,73%,60% (43/72),62% (16/26),60% (6/10),33% (18/54),53% (23/43),63% (5/8),6,60% (59/98),42% (41/97),51% (100/195),6,73% (11/15),33% (5/15),53% (16/30),"['1', '0', '4', '1']",[],"['1', '4', '3', '4', '5', '4']",[],[],1.42
29.04. 16:15,Bonzi B.,1,4,6,4,,,4,0,56%,67% (36/54),47% (20/43),38% (3/8),40% (29/72),38% (10/26),40% (4/10),6,58% (56/97),40% (39/98),49% (95/195),6,67% (10/15),27% (4/15),47% (14/30),"['2', '4']","['6', '4']","['2', '0', '4', '0']",[],[],2.76
ATP - SINGLES :  Madrid (Spain),clay,header
24.04. 23:25,Llamas Ruiz P.,1,1,6,6^4,,,4,0,64%,67% (41/61),50% (17/34),57% (4/7),25% (16/64),44% (11/25),67% (2/3),17,21,76% (16/21),6,61% (58/95),30% (27/89),46% (85/184),3,79% (11/14),13% (2/15),45% (13/29),[],"['6', '4']","['3', '1']",[],[],1.87
24.04. 23:25,Klein L.,2,6,4,7^7,,,5,5,72%,75% (48/64),56% (14/25),33% (1/3),33% (20/61),50% (17/34),43% (3/7),33,24,69% (18/26),9,70% (62/89),39% (37/95),54% (99/184),3,87% (13/15),21% (3/14),55% (16/29),"['2', '0', '5', '1']",[],"['2', '3']",[],[],1.94
ATP - SINGLES :  Madrid (Spain) - Qualification,clay,header
23.04. 18:50,Llamas Ruiz P.,2,7,7,,,,5,2,68%,77% (43/56),46% (12/26),100% (5/5),36% (20/55),35% (7/20),29% (2/7),32,10,60% (15/25),6,67% (55/82),36% (27/75),52% (82/157),3,100% (12/12),17% (2/12),58% (14/24),"['6', '5']","['6', '5']",[],[],[],1.82
23.04. 18:50,Coria F.,0,5,5,,,,1,1,73%,64% (35/55),65% (13/20),71% (5/7),23% (13/56),54% (14/26),0% (0/5),21,11,57% (12/21),4,64% (48/75),33% (27/82),48% (75/157),1,83% (10/12),0% (0/12),42% (10/24),[],[],[],[],[],1.92
22.04. 22:25,Llamas Ruiz P.,2,6,6,,,,0,1,69%,71% (29/41),56% (10/18),83% (5/6),34% (10/29),59% (16/27),57% (4/7),9,20,75% (9/12),7,66% (39/59),46% (26/56),57% (65/115),3,89% (8/9),44% (4/9),67% (12/18),"['2', '1', '5', '2']","['2', '3', '5', '4']",[],[],[],1.70
22.04. 22:25,Halys Q.,0,2,4,,,,4,3,52%,66% (19/29),41% (11/27),43% (3/7),29% (12/41),44% (8/18),17% (1/6),13,27,58% (11/19),7,54% (30/56),34% (20/59),43% (50/115),2,56% (5/9),11% (1/9),33% (6/18),[],"['3', '1']",[],[],[],2.15
ATP - SINGLES :  Barcelona (Spain) - Qualification,clay,header
13.04. 15:15,Llamas Ruiz P.,1,3,7,4,,,5,4,62%,57% (36/63),45% (17/38),14% (1/7),25% (12/48),57% (25/44),42% (5/12),6,52% (53/101),40% (37/92),47% (90/193),3,60% (9/15),31% (5/16),45% (14/31),"['2', '3']","['2', '2', '4', '4', '7', '5']","['3', '3']",[],[],1.28
13.04. 15:15,Trungelliti M.,2,6,5,6,,,5,4,52%,75% (36/48),43% (19/44),58% (7/12),43% (27/63),55% (21/38),86% (6/7),10,60% (55/92),48% (48/101),53% (103/193),3,69% (11/16),40% (6/15),55% (17/31),"['3', '1', '4', '2']","['1', '0', '4', '3']","['3', '2', '5', '4']",[],[],3.50
ATP - SINGLES :  Estoril (Portugal),clay,header
