Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Sibiu (Romania),clay,header
18.09. 14:35,Dalla Valle E.,0,2,5,,,,1,2,71%,54% (28/52),48% (10/21),50% (5/10),36% (15/42),45% (9/20),25% (2/8),8,52% (38/73),39% (24/62),46% (62/135),4,50% (5/10),20% (2/10),35% (7/20),[],"['1', '1', '3', '1']",[],[],[],1.74
18.09. 14:35,Olivieri G. A.,2,6,7,,,,0,2,68%,64% (27/42),55% (11/20),75% (6/8),46% (24/52),52% (11/21),50% (5/10),8,61% (38/62),48% (35/73),54% (73/135),6,80% (8/10),50% (5/10),65% (13/20),"['3', '2', '5', '2']","['1', '0', '4', '5', '6', '5']",[],[],[],2.02
16.09. 17:35,Dalla Valle E.,2,6,6,,,,3,2,72%,74% (23/31),67% (8/12),50% (1/2),39% (13/33),67% (12/18),56% (5/9),13,72% (31/43),49% (25/51),60% (56/94),6,88% (7/8),56% (5/9),71% (12/17),"['2', '1', '5', '4']","['2', '1', '4', '1', '6', '1']",[],[],[],1.64
16.09. 17:35,Giustino L.,0,4,1,,,,0,2,65%,61% (20/33),33% (6/18),44% (4/9),26% (8/31),33% (4/12),50% (1/2),6,51% (26/51),28% (12/43),40% (38/94),3,44% (4/9),13% (1/8),29% (5/17),"['3', '3']",[],[],[],[],2.20
CHALLENGER MEN - SINGLES :  Dobrich 2 (Bulgaria),clay,header
10.09. 12:40,Dalla Valle E.,1,6,4,5,,,1,2,65%,72% (39/54),52% (15/29),0% (0/3),36% (21/59),51% (18/35),57% (4/7),5,65% (54/83),41% (39/94),53% (93/177),7,79% (11/14),29% (4/14),54% (15/28),"['2', '0', '4', '0', '6', '0']",[],"['3', '3']",[],[],1.66
10.09. 12:40,Gill F.,2,0,6,7,,,1,4,63%,64% (38/59),49% (17/35),43% (3/7),28% (15/54),48% (14/29),100% (3/3),5,59% (55/94),35% (29/83),47% (84/177),3,71% (10/14),21% (3/14),46% (13/28),[],"['2', '1']","['3', '2', '6', '5']",[],[],2.16
CHALLENGER MEN - SINGLES :  Seville (Spain),clay,header
04.09. 16:10,Dalla Valle E.,0,5,2,,,,3,0,73%,55% (26/47),35% (6/17),40% (4/10),38% (18/48),50% (5/10),50% (3/6),6,50% (32/64),40% (23/58),45% (55/122),2,40% (4/10),30% (3/10),35% (7/20),"['2', '1', '3', '4', '4', '5']",[],[],[],[],2.28
04.09. 16:10,Ramos A.,2,7,6,,,,0,3,83%,63% (30/48),50% (5/10),50% (3/6),45% (21/47),65% (11/17),60% (6/10),6,60% (35/58),50% (32/64),55% (67/122),3,70% (7/10),60% (6/10),65% (13/20),"['2', '2', '4', '2', '5', '3', '7', '5']","['3', '1', '6', '2']",[],[],[],1.58
03.09. 20:40,Dalla Valle E.,2,6,7^7,,,,0,3,76%,69% (38/55),53% (9/17),75% (6/8),45% (25/55),52% (13/25),31% (4/13),6,65% (47/72),48% (38/80),56% (85/152),3,80% (8/10),40% (4/10),60% (12/20),"['1', '0', '5', '2']","['2', '1', '6', '5']",[],[],[],1.68
03.09. 20:40,Sanchez Izquierdo N.,0,2,6^1,,,,0,0,69%,55% (30/55),48% (12/25),69% (9/13),31% (17/55),47% (8/17),25% (2/8),5,53% (42/80),35% (25/72),44% (67/152),2,60% (6/10),20% (2/10),40% (8/20),[],"['5', '5', '6', '6']",[],[],[],2.13
CHALLENGER MEN - SINGLES :  Porto 2 (Portugal),clay,header
30.08. 17:40,Dalla Valle E.,0,5,5,,,,3,1,62%,57% (24/42),58% (15/26),20% (1/5),33% (12/36),40% (17/43),40% (2/5),8,57% (39/68),37% (29/79),46% (68/147),2,67% (8/12),17% (2/12),42% (10/24),"['2', '2', '3', '3']",[],[],[],[],1.70
30.08. 17:40,Rodriguez Taverna S.,2,7,7,,,,1,2,46%,67% (24/36),60% (26/43),60% (3/5),43% (18/42),42% (11/26),80% (4/5),7,63% (50/79),43% (29/68),54% (79/147),3,83% (10/12),33% (4/12),58% (14/24),"['1', '0', '3', '2', '6', '5']","['6', '5']",[],[],[],2.09
29.08. 20:10,Dalla Valle E.,2,6,3,7^7,,,3,1,58%,73% (38/52),63% (24/38),86% (12/14),37% (23/62),46% (26/56),23% (3/13),7,69% (62/90),42% (49/118),53% (111/208),7,86% (12/14),21% (3/14),54% (15/28),"['3', '1', '5', '1']","['1', '0']",[],[],[],2.33
