Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Estoril (Portugal) - Qualification,clay,header
28.04. 20:25,Zapata Miralles B.,2,7,6,,,,1,1,73%,69% (36/52),47% (9/19),67% (4/6),39% (13/33),54% (15/28),67% (4/6),17,32,63% (45/71),46% (28/61),55% (73/132),7,0,82% (9/11),40% (4/10),62% (13/21),[],[],[],[],[],1.54
28.04. 20:25,Marti Pujolras A.,0,5,3,,,,1,4,54%,61% (20/33),46% (13/28),33% (2/6),31% (16/52),53% (10/19),33% (2/6),15,40,54% (33/61),37% (26/71),45% (59/132),3,1,60% (6/10),18% (2/11),38% (8/21),[],[],[],[],[],2.38
CHALLENGER MEN - SINGLES :  Oeiras 3 (Portugal),clay,header
17.04. 14:45,Zapata Miralles B.,1,5,6,6^5,,,2,5,66%,59% (51/87),44% (20/45),65% (13/20),40% (33/83),59% (24/41),47% (7/15),53% (71/134),46% (57/124),50% (128/258),3,2,59% (10/17),41% (7/17),50% (17/34),[],[],[],[],[],2.46
17.04. 14:45,Den Ouden G.,2,7,4,7^7,,,2,2,67%,60% (50/83),41% (17/41),53% (8/15),43% (37/87),56% (25/45),35% (7/20),54% (67/124),47% (63/134),50% (130/258),7,0,59% (10/17),41% (7/17),50% (17/34),[],[],[],[],[],1.51
CHALLENGER MEN - SINGLES :  Oeiras 3 (Portugal) - Qualification,clay,header
15.04. 16:00,Zapata Miralles B.,2,7^7,0,7,,,1,2,67%,51% (34/67),58% (19/33),57% (8/14),30% (16/53),34% (12/35),67% (4/6),53% (53/100),32% (28/88),43% (81/188),7,0,60% (9/15),27% (4/15),43% (13/30),[],[],[],[],[],2.57
15.04. 16:00,Coppejans K.,1,6^5,6,5,,,3,2,60%,70% (37/53),66% (23/35),33% (2/6),49% (33/67),42% (14/33),43% (6/14),68% (60/88),47% (47/100),57% (107/188),3,0,73% (11/15),40% (6/15),57% (17/30),[],[],[],[],[],1.42
13.04. 18:45,Zapata Miralles B.,2,7^7,7^7,,,,1,5,83%,65% (47/72),40% (6/15),69% (9/13),41% (36/88),61% (22/36),19% (4/21),61% (53/87),47% (58/124),53% (111/211),6,0,67% (8/12),33% (4/12),50% (12/24),[],[],[],[],[],1.68
13.04. 18:45,Sanchez Jover C.,0,6^3,6^5,,,,2,5,71%,59% (52/88),39% (14/36),81% (17/21),35% (25/72),60% (9/15),31% (4/13),53% (66/124),39% (34/87),47% (100/211),4,0,67% (8/12),33% (4/12),50% (12/24),[],[],[],[],[],2.11
CHALLENGER MEN - SINGLES :  Madrid (Spain),clay,header
08.04. 21:25,Zapata Miralles B.,1,3,6,4,,,1,1,76%,69% (45/65),50% (10/20),67% (4/6),15% (7/47),54% (14/26),100% (2/2),65% (55/85),29% (21/73),48% (76/158),5,2,85% (11/13),14% (2/14),48% (13/27),[],[],[],[],[],1.96
08.04. 21:25,Hemery C.,2,6,2,6,,,4,5,64%,85% (40/47),46% (12/26),0% (0/2),31% (20/65),50% (10/20),33% (2/6),71% (52/73),35% (30/85),52% (82/158),5,0,86% (12/14),15% (2/13),52% (14/27),[],[],[],[],[],1.77
CHALLENGER MEN - SINGLES :  Madrid (Spain) - Qualification,clay,header
07.04. 16:40,Zapata Miralles B.,2,7,6,,,,1,1,58%,77% (24/31),68% (15/22),50% (1/2),35% (12/34),69% (11/16),80% (4/5),74% (39/53),46% (23/50),60% (62/103),8,0,90% (9/10),44% (4/9),68% (13/19),[],[],[],[],[],1.80
07.04. 16:40,Agamenone F.,0,5,1,,,,0,1,68%,65% (22/34),31% (5/16),20% (1/5),23% (7/31),32% (7/22),50% (1/2),54% (27/50),26% (14/53),40% (41/103),2,0,56% (5/9),10% (1/10),32% (6/19),[],[],[],[],[],1.93
06.04. 17:40,Zapata Miralles B.,2,6,3,6,,,1,2,76%,66% (43/65),38% (8/21),43% (3/7),42% (22/53),45% (10/22),56% (5/9),59% (50/85),42% (31/74),51% (81/159),7,0,71% (10/14),38% (5/13),56% (15/27),[],[],[],[],[],1.38
06.04. 17:40,Chazal M.,1,3,6,3,,,0,2,71%,60% (32/53),55% (12/22),44% (4/9),37% (24/65),62% (13/21),57% (4/7),58% (43/74),41% (35/85),49% (78/159),3,1,62% (8/13),29% (4/14),44% (12/27),[],[],[],[],[],2.89
