Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,510/382,184/120,214/173,67/41,33/36,12/12
2024,25/23,16/7,6/13,-,3/3,-
2023,27/29,4/5,19/17,-,4/3,0/4
2022,40/29,10/7,23/16,0/2,4/4,3/0
2021,18/18,5/6,8/9,3/1,2/2,-
2020,16/13,2/3,11/9,0/1,-,3/0
2019,42/27,2/7,30/15,-,9/4,1/1
2018,25/29,6/8,14/16,2/1,1/3,2/1
2017,34/30,6/6,25/17,0/2,1/4,2/1
2016,30/32,6/2,19/21,3/2,2/5,0/2
2015,43/24,6/5,22/14,10/2,5/3,-
2014,25/26,2/5,19/14,2/4,2/3,-
2013,46/26,13/10,16/8,17/7,0/1,-
2012,40/25,24/16,2/2,14/7,-,-
2011,20/26,8/14,0/1,11/7,0/1,1/3
2010,60/13,56/9,0/1,4/3,-,-
2009,13/7,12/5,-,1/2,-,-
2008,2/2,2/2,-,-,-,-
2007,4/3,4/3,-,-,-,-
