Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,Zahraj P.,2,,,,,,"['1', '0', '2', '1']","['1', '0', '5', '2']",[],[],[],1.06
27.08.,Overmyer K.,0,,,,,,"['1', '1']",[],[],[],[],7.40
18.08.,Montes-De La Torre I.,2,,,,,,0,10,62%,62% (26/42),46% (12/26),40% (2/5),43% (13/30),57% (16/28),100% (5/5),6,35,0% (0/3),56% (38/68),49% (28/57),53% (66/125),8,0,70% (7/10),50% (5/10),60% (12/20),"['2', '0', '3', '1', '6', '4']","['1', '1', '6', '4']",[],[],[],19.5
18.08.,Zahraj P.,0,,,,,,4,8,52%,57% (17/30),43% (12/28),0% (0/5),38% (16/42),54% (14/26),60% (3/5),17,50,44% (4/9),51% (29/57),44% (30/68),47% (59/125),2,0,50% (5/10),30% (3/10),40% (8/20),"['1', '2', '3', '4']","['1', '0']",[],[],[],1.68
05.08.,Krumich M.,2,,,,,,8,1,60%,86% (30/35),61% (14/23),100% (4/4),13% (4/30),57% (17/30),33% (2/6),17,16,86% (6/7),76% (44/58),35% (21/60),55% (65/118),6,0,100% (10/10),20% (2/10),60% (12/20),"['1', '0']","['3', '2']",[],[],[],1.56
05.08.,Zahraj P.,0,,,,,,6,6,50%,87% (26/30),43% (13/30),67% (4/6),14% (5/35),39% (9/23),0% (0/4),24,30,90% (9/10),65% (39/60),24% (14/58),45% (53/118),4,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],2.33
29.07.,Michalski D.,2,,,,,,0,1,66%,66% (25/38),45% (9/20),60% (3/5),48% (15/31),78% (18/23),46% (6/13),59% (34/58),61% (33/54),60% (67/112),7,0,75% (6/8),86% (6/7),80% (12/15),"['2', '0', '3', '1', '5', '1', '6', '2']","['3', '1', '5', '1']",[],[],[],1.63
29.07.,Zahraj P.,0,,,,,,2,4,57%,52% (16/31),22% (5/23),54% (7/13),34% (13/38),55% (11/20),40% (2/5),39% (21/54),41% (24/58),40% (45/112),3,2,14% (1/7),25% (2/8),20% (3/15),"['1', '2', '2', '5']",[],[],[],[],2.19
22.07.,Durasovic V.,2,,,,,,8,9,50%,77% (44/57),50% (29/58),82% (9/11),23% (11/48),52% (32/61),36% (4/11),63% (73/115),39% (43/109),52% (116/224),9,0,88% (15/17),25% (4/16),58% (19/33),"['2', '0']","['4', '5']","['5', '3', '7', '5']",[],[],2.03
22.07.,Zahraj P.,1,,,,,,12,10,44%,77% (37/48),48% (29/61),64% (7/11),23% (13/57),50% (29/58),18% (2/11),61% (66/109),37% (42/115),48% (108/224),1,0,75% (12/16),12% (2/17),42% (14/33),[],"['5', '3']","['4', '5']",[],[],1.72
16.07.,Burruchaga R. A.,2,,,,,,2,1,65%,68% (41/60),56% (18/32),50% (3/6),25% (10/40),66% (27/41),63% (5/8),18,28,82% (9/11),64% (59/92),46% (37/81),55% (96/173),9,0,79% (11/14),38% (5/13),59% (16/27),[],"['1', '1', '3', '1', '6', '4']","['3', '1', '5', '1']",[],[],1.23
16.07.,Zahraj P.,1,,,,,,2,6,49%,75% (30/40),34% (14/41),38% (3/8),32% (19/60),44% (14/32),50% (3/6),23,46,64% (9/14),54% (44/81),36% (33/92),45% (77/173),1,0,62% (8/13),21% (3/14),41% (11/27),"['3', '2']","['1', '0', '4', '5']",[],[],[],5.05
13.07.,Buse I.,2,,,,,,7,1,59%,78% (32/41),62% (18/29),83% (5/6),27% (14/51),62% (23/37),13% (2/15),19,14,83% (5/6),71% (50/70),42% (37/88),55% (87/158),6,0,91% (10/11),20% (2/10),57% (12/21),"['2', '1']","['4', '2']",[],[],[],1.19
13.07.,Zahraj P.,0,,,,,,6,6,58%,73% (37/51),38% (14/37),87% (13/15),22% (9/41),38% (11/29),17% (1/6),24,47,71% (17/24),58% (51/88),29% (20/70),45% (71/158),4,0,80% (8/10),9% (1/11),43% (9/21),"['5', '5']",[],[],[],[],4.41
12.07.,Zahraj P.,2,,,,,,3,3,47%,89% (25/28),56% (18/32),67% (2/3),32% (13/41),50% (13/26),43% (3/7),26,23,64% (9/14),72% (43/60),39% (26/67),54% (69/127),5,0,91% (10/11),27% (3/11),59% (13/22),"['6', '5']","['1', '0', '4', '3']",[],[],[],6.99
12.07.,Rocha H.,0,,,,,,5,3,61%,68% (28/41),50% (13/26),57% (4/7),11% (3/28),44% (14/32),33% (1/3),15,29,75% (3/4),61% (41/67),28% (17/60),46% (58/127),5,0,73% (8/11),9% (1/11),41% (9/22),[],"['1', '1']",[],[],[],1.10
11.07.,Edmund K.,1,,,,,,11,2,69%,78% (29/37),53% (9/17),0% (0/1),18% (7/40),66% (23/35),22% (2/9),70% (38/54),40% (30/75),53% (68/129),6,0,89% (8/9),20% (2/10),53% (10/19),"['2', '0']","['1', '0']",[],[],[],1.68
11.07.,Zahraj P.,0,,,,,,11,3,53%,83% (33/40),34% (12/35),78% (7/9),22% (8/37),47% (8/17),100% (1/1),60% (45/75),30% (16/54),47% (61/129),4,0,80% (8/10),11% (1/9),47% (9/19),"['1', '2']",[],[],[],[],2.11
10.07.,Zahraj P.,2,,,,,,10,2,67%,91% (29/32),50% (8/16),0% (0/0),33% (12/36),69% (9/13),50% (3/6),77% (37/48),43% (21/49),60% (58/97),8,0,100% (9/9),38% (3/8),71% (12/17),"['5', '3']","['3', '2', '5', '2']",[],[],[],1.40
10.07.,De Schepper K.,0,,,,,,5,3,73%,67% (24/36),31% (4/13),50% (3/6),9% (3/32),50% (8/16),0% (0/0),57% (28/49),23% (11/48),40% (39/97),2,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],2.81
08.07.,Zahraj P.,2,,,,,,2,1,59%,74% (29/39),48% (13/27),60% (3/5),45% (23/51),64% (7/11),57% (4/7),64% (42/66),48% (30/62),56% (72/128),9,0,80% (8/10),40% (4/10),60% (12/20),"['3', '2', '5', '2']","['3', '2', '5', '4']",[],[],[],1.25
08.07.,Nefve A.,0,,,,,,5,3,82%,55% (28/51),36% (4/11),43% (3/7),26% (10/39),52% (14/27),40% (2/5),52% (32/62),36% (24/66),44% (56/128),1,0,60% (6/10),20% (2/10),40% (8/20),"['3', '5']","['3', '3']",[],[],[],3.70
07.07.,Zahraj P.,2,,,,,,5,2,61%,67% (18/27),65% (11/17),60% (3/5),44% (16/36),72% (21/29),50% (6/12),66% (29/44),57% (37/65),61% (66/109),9,0,75% (6/8),67% (6/9),71% (12/17),"['1', '2', '3', '2']","['1', '0', '3', '0', '4', '1', '6', '1']",[],[],[],1.41
07.07.,Dietrich D.,0,,,,,,5,3,55%,56% (20/36),28% (8/29),50% (6/12),33% (9/27),35% (6/17),40% (2/5),43% (28/65),34% (15/44),39% (43/109),1,0,33% (3/9),25% (2/8),29% (5/17),"['2', '0']","['1', '3']",[],[],[],2.71
07.07.,Zahraj P.,2,,,,,,3,4,42%,100% (18/18),72% (18/25),0% (0/0),32% (12/38),58% (14/24),33% (3/9),84% (36/43),42% (26/62),59% (62/105),10,0,100% (9/9),33% (3/9),67% (12/18),"['5', '4']","['3', '2', '5', '2']",[],[],[],1.30
07.07.,Jansen W.,0,,,,,,3,1,61%,68% (26/38),42% (10/24),67% (6/9),0% (0/18),28% (7/25),0% (0/0),58% (36/62),16% (7/43),41% (43/105),0,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],3.33
30.06.,Diaz Acosta F.,2,,,,,,3,0,62%,79% (23/29),78% (14/18),0% (0/0),41% (12/29),57% (17/30),33% (3/9),17,13,67% (4/6),79% (37/47),49% (29/59),62% (66/106),5,0,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '4', '0']","['4', '3']",[],[],[],1.27
30.06.,Zahraj P.,0,,,,,,6,3,49%,59% (17/29),43% (13/30),67% (6/9),21% (6/29),22% (4/18),0% (0/0),18,33,46% (6/13),51% (30/59),21% (10/47),38% (40/106),5,2,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],3.80
14.06.,Bonzi B.,2,,,,,,7,1,62%,79% (31/39),63% (15/24),100% (3/3),26% (7/27),50% (12/24),50% (2/4),20,17,80% (8/10),73% (46/63),37% (19/51),57% (65/114),5,0,100% (10/10),22% (2/9),63% (12/19),"['3', '1']","['4', '3']",[],[],[],1.30
14.06.,Zahraj P.,0,,,,,,5,2,53%,74% (20/27),50% (12/24),50% (2/4),21% (8/39),38% (9/24),0% (0/3),14,25,71% (5/7),63% (32/51),27% (17/63),43% (49/114),5,0,78% (7/9),0% (0/10),37% (7/19),[],[],[],[],[],3.54
07.06.,Fucsovics M.,2,,,,,,8,7,55%,88% (46/52),49% (21/43),0% (0/3),25% (16/63),62% (37/60),29% (5/17),35,40,79% (11/14),71% (67/95),43% (53/123),55% (120/218),10,0,82% (14/17),29% (5/17),56% (19/34),"['3', '4', '5', '4']","['3', '4']","['5', '5', '7', '5']",[],[],1.08
07.06.,Zahraj P.,1,,,,,,8,8,51%,75% (47/63),38% (23/60),71% (12/17),12% (6/52),51% (22/43),100% (3/3),35,54,50% (11/22),57% (70/123),29% (28/95),45% (98/218),0,0,71% (12/17),18% (3/17),44% (15/34),"['4', '2']","['2', '0']","['1', '0']",[],[],6.70
02.06.,Cassone M.,2,,,,,,4,0,67%,75% (27/36),61% (11/18),75% (3/4),24% (7/29),61% (14/23),75% (3/4),70% (38/54),40% (21/52),56% (59/106),6,0,90% (9/10),33% (3/9),63% (12/19),"['2', '0', '6', '4']","['4', '2']",[],[],[],1.43
02.06.,Zahraj P.,0,,,,,,7,5,56%,76% (22/29),39% (9/23),25% (1/4),25% (9/36),39% (7/18),25% (1/4),60% (31/52),30% (16/54),44% (47/106),4,0,67% (6/9),10% (1/10),37% (7/19),"['4', '5']",[],[],[],[],2.70
01.06.,Zahraj P.,2,,,,,,7,3,54%,80% (36/45),53% (20/38),33% (1/3),29% (18/62),56% (18/32),29% (2/7),67% (56/83),38% (36/94),52% (92/177),6,0,83% (10/12),17% (2/12),50% (12/24),"['1', '0']","['3', '3']",[],[],[],2.90
01.06.,McCabe J.,0,,,,,,9,4,66%,71% (44/62),44% (14/32),71% (5/7),20% (9/45),47% (18/38),67% (2/3),62% (58/94),33% (27/83),48% (85/177),4,3,83% (10/12),17% (2/12),50% (12/24),"['4', '4']","['1', '0']",[],[],[],1.38
17.05.,Collignon R.,2,,,,,,5,8,67%,71% (36/51),40% (10/25),79% (11/14),47% (17/36),50% (12/24),57% (4/7),22,32,60% (6/10),61% (46/76),48% (29/60),55% (75/136),7,0,73% (8/11),40% (4/10),57% (12/21),"['1', '1', '3', '1']","['1', '2', '4', '3']",[],[],[],1.08
17.05.,Zahraj P.,0,,,,,,1,3,60%,53% (19/36),50% (12/24),43% (3/7),29% (15/51),60% (15/25),21% (3/14),12,37,64% (7/11),52% (31/60),39% (30/76),45% (61/136),3,0,60% (6/10),27% (3/11),43% (9/21),"['1', '0']","['2', '0', '4', '4']",[],[],[],7.97
12.05.,Carboni L.,2,,,,,,4,2,58%,77% (37/48),77% (27/35),80% (4/5),29% (20/68),59% (19/32),19% (3/16),31,27,80% (16/20),77% (64/83),39% (39/100),56% (103/183),4,0,93% (14/15),21% (3/14),59% (17/29),[],"['2', '0', '4', '0']","['2', '1']",[],[],1.78
12.05.,Zahraj P.,1,,,,,,8,1,68%,71% (48/68),41% (13/32),81% (13/16),23% (11/48),23% (8/35),20% (1/5),28,46,72% (13/18),61% (61/100),23% (19/83),44% (80/183),6,1,79% (11/14),7% (1/15),41% (12/29),"['6', '5']",[],[],[],[],1.95
09.05.,Nedic A.,2,,,,,,"['1', '0', '4', '1', '6', '5']","['1', '0', '4', '1', '6', '1']",[],[],[],2.42
09.05.,Zahraj P.,0,,,,,,"['2', '4', '4', '4']",[],[],[],[],1.51
07.05.,Zahraj P.,2,,,,,,"['2', '1', '4', '1', '6', '3']","['2', '0', '4', '0']",[],[],[],1.01
07.05.,Giraldi C.,0,,,,,,"['3', '5']",[],[],[],[],11.00
28.04.,Pereira T.,2,,,,,,8,5,55%,68% (44/65),51% (27/53),29% (2/7),34% (22/65),53% (27/51),36% (5/14),42,47,60% (3/5),60% (71/118),42% (49/116),51% (120/234),6,0,71% (12/17),29% (5/17),50% (17/34),"['3', '1', '7', '5']",[],"['1', '1', '2', '2', '4', '4']",[],[],1.74
28.04.,Zahraj P.,1,,,,,,8,7,56%,66% (43/65),47% (24/51),64% (9/14),32% (21/65),49% (26/53),71% (5/7),38,51,71% (10/14),58% (67/116),40% (47/118),49% (114/234),4,6,71% (12/17),29% (5/17),50% (17/34),"['2', '3']","['4', '3']","['1', '0', '2', '1', '4', '3']",[],[],2.00
16.04.,Zahraj P.,1,,,,,,4,9,52%,72% (23/32),37% (11/30),60% (6/10),33% (14/42),56% (19/34),38% (3/8),55% (34/62),43% (33/76),49% (67/138),3,0,60% (6/10),27% (3/11),43% (9/21),"['1', '0', '3', '0']","['1', '0']",[],[],[],1.27
16.04.,Tobon M.,1,,,,,,1,6,55%,67% (28/42),44% (15/34),63% (5/8),28% (9/32),63% (19/30),40% (4/10),57% (43/76),45% (28/62),51% (71/138),7,0,73% (8/11),40% (4/10),57% (12/21),"['1', '3']","['1', '1', '3', '1']","['1', '0']",[],[],3.54
14.04.,Zahraj P.,2,,,,,,2,7,56%,74% (25/34),37% (10/27),80% (8/10),56% (22/39),63% (12/19),46% (6/13),57% (36/63),59% (34/58),58% (70/121),7,0,75% (6/8),75% (6/8),75% (12/16),"['1', '0', '2', '1', '6', '3']","['1', '1', '3', '1', '5', '1']",[],[],[],1.24
14.04.,Tudorica A. N.,0,,,,,,0,4,67%,44% (17/39),37% (7/19),54% (7/13),26% (9/34),63% (17/27),20% (2/10),41% (24/58),43% (27/63),42% (51/121),3,0,25% (2/8),25% (2/8),25% (4/16),"['1', '1']","['1', '0']",[],[],[],3.86
08.04.,Huesler M.,2,,,,,,6,4,59%,82% (31/38),50% (13/26),67% (2/3),23% (6/26),51% (20/39),57% (4/7),69% (44/64),40% (26/65),54% (70/129),9,0,89% (8/9),40% (4/10),63% (12/19),"['2', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],1.30
08.04.,Zahraj P.,0,,,,,,7,7,40%,77% (20/26),49% (19/39),43% (3/7),18% (7/38),50% (13/26),33% (1/3),60% (39/65),31% (20/64),46% (59/129),1,0,60% (6/10),11% (1/9),37% (7/19),"['3', '4']",[],[],[],[],3.35
30.03.,Zahraj P.,1,,,,,,4,4,52%,63% (20/32),43% (13/30),38% (3/8),40% (21/52),54% (14/26),31% (4/13),32,30,71% (5/7),53% (33/62),45% (35/78),49% (68/140),5,0,50% (5/10),40% (4/10),45% (9/20),"['2', '0', '5', '3', '6', '6']","['1', '0']",[],[],[],2.66
30.03.,Krueger M.,0,,,,,,5,4,67%,60% (31/52),46% (12/26),69% (9/13),38% (12/32),57% (17/30),63% (5/8),28,19,77% (10/13),55% (43/78),47% (29/62),51% (72/140),5,0,60% (6/10),50% (5/10),55% (11/20),"['2', '3', '4', '5', '6', '5']","['1', '1', '3', '1']",[],[],[],1.44
29.03.,Zahraj P.,2,,,,,,3,4,65%,67% (34/51),41% (11/27),63% (5/8),40% (12/30),48% (14/29),100% (5/5),17,37,73% (8/11),58% (45/78),44% (26/59),52% (71/137),7,0,73% (8/11),45% (5/11),59% (13/22),"['3', '3', '4', '4', '6', '4']","['5', '5', '7', '5']",[],[],[],1.58
29.03.,Corwin F.,0,,,,,,4,5,51%,60% (18/30),52% (15/29),0% (0/5),33% (17/51),59% (16/27),38% (3/8),14,28,100% (4/4),56% (33/59),42% (33/78),48% (66/137),3,0,55% (6/11),27% (3/11),41% (9/22),"['2', '1', '4', '3']","['3', '2']",[],[],[],2.29
