Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Szczecin (Poland),clay,header
12.09. 14:40,Campana Lee G.,2,3,7,6,,,0,8,71%,64% (48/75),42% (13/31),67% (10/15),40% (29/72),52% (15/29),63% (5/8),7,58% (61/106),44% (44/101),51% (105/207),5,69% (11/16),33% (5/15),52% (16/31),"['2', '2']","['2', '1', '6', '5']","['3', '4', '5', '4']",[],[],3.13
12.09. 14:40,Debru G.,1,6,5,4,,,5,2,71%,60% (43/72),48% (14/29),38% (3/8),36% (27/75),58% (18/31),33% (5/15),7,56% (57/101),42% (45/106),49% (102/207),5,67% (10/15),31% (5/16),48% (15/31),"['2', '1', '4', '3', '6', '3']","['2', '2']","['2', '0']",[],[],1.34
10.09. 15:30,Campana Lee G.,2,6,6,,,,1,2,71%,74% (37/50),30% (6/20),89% (8/9),31% (10/32),61% (11/18),80% (4/5),10,61% (43/70),42% (21/50),53% (64/120),3,89% (8/9),40% (4/10),63% (12/19),"['1', '0', '4', '1']","['2', '1', '6', '3']",[],[],[],2.50
10.09. 15:30,Cachin P.,0,4,3,,,,1,2,64%,69% (22/32),39% (7/18),20% (1/5),26% (13/50),70% (14/20),11% (1/9),6,58% (29/50),39% (27/70),47% (56/120),2,60% (6/10),11% (1/9),37% (7/19),"['2', '4']",[],[],[],[],1.50
CHALLENGER MEN - SINGLES :  Seville (Spain),clay,header
02.09. 21:40,Campana Lee G.,0,5,3,,,,0,2,64%,52% (29/56),52% (16/31),56% (5/9),26% (9/35),46% (12/26),50% (1/2),3,52% (45/87),34% (21/61),45% (66/148),2,64% (7/11),10% (1/10),38% (8/21),[],"['2', '2']",[],[],[],1.61
02.09. 21:40,Jorda Sanchis D.,2,7,6,,,,4,0,57%,74% (26/35),54% (14/26),50% (1/2),48% (27/56),48% (15/31),44% (4/9),8,66% (40/61),48% (42/87),55% (82/148),5,90% (9/10),36% (4/11),62% (13/21),"['6', '5']","['1', '0', '3', '2', '6', '3']",[],[],[],2.24
CHALLENGER MEN - SINGLES :  Porto 2 (Portugal),clay,header
27.08. 17:40,Campana Lee G.,1,7^7,4,3,,,3,7,64%,58% (51/88),45% (22/49),68% (15/22),38% (21/56),44% (21/48),40% (4/10),5,53% (73/137),40% (42/104),48% (115/241),3,56% (9/16),27% (4/15),42% (13/31),"['4', '5']","['1', '1', '4', '4']","['3', '5']",[],[],1.63
27.08. 17:40,Echargui M.,2,6^4,6,6,,,1,2,54%,63% (35/56),56% (27/48),60% (6/10),42% (37/88),55% (27/49),32% (7/22),7,60% (62/104),47% (64/137),52% (126/241),4,73% (11/15),44% (7/16),58% (18/31),"['4', '2']","['1', '0', '3', '2', '5', '4']","['3', '2', '5', '2', '6', '3']",[],[],2.21
CHALLENGER MEN - SINGLES :  Porto 2 (Portugal) - Qualification,clay,header
