Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.03.,Perfetti N.,2,,,,,,[],"['1', '0', '2', '1', '4', '1', '6', '3']","['1', '1', '3', '1']",[],[],1.40
26.03.,Reitano S.,1,,,,,,"['3', '2', '6', '3']","['1', '1', '3', '5']","['1', '0']",[],[],2.77
13.09.2024,Wessels L.,2,,,,,,"['2', '0', '6', '4']","['2', '0', '4', '0']",[],[],[],1.26
13.09.2024,Reitano S.,0,,,,,,"['3', '4']",[],[],[],[],3.59
12.09.2024,Reitano S.,2,,,,,,"['2', '3', '4', '3']","['3', '1', '5', '3']",[],[],[],1.41
12.09.2024,Di Natale G. M.,0,,,,,,"['2', '0', '5', '5']","['2', '3']",[],[],[],2.75
10.09.2024,Reitano S.,2,,,,,,"['4', '2', '5', '3', '7', '5']","['2', '0', '4', '0', '6', '4']",[],[],[],3.18
10.09.2024,Tammaro M.,0,,,,,,"['3', '4', '4', '5']","['1', '4', '4', '5']",[],[],[],1.32
01.09.2024,Oradini G.,2,,,,,,5,2,77%,74% (37/50),53% (8/15),67% (2/3),31% (13/42),55% (17/31),43% (3/7),69% (45/65),41% (30/73),54% (75/138),6,0,91% (10/11),27% (3/11),59% (13/22),"['7', '5']","['3', '3', '6', '4']",[],[],[],1.13
01.09.2024,Reitano S.,0,,,,,,3,3,58%,69% (29/42),45% (14/31),57% (4/7),26% (13/50),47% (7/15),33% (1/3),59% (43/73),31% (20/65),46% (63/138),4,0,73% (8/11),9% (1/11),41% (9/22),[],"['3', '2']",[],[],[],5.45
28.08.2024,Caniato C. A.,2,,,,,,"['2', '0', '5', '1', '6', '2']","['2', '4']","['2', '0', '3', '1', '6', '4']",[],[],1.69
28.08.2024,Reitano S.,1,,,,,,"['2', '5']","['1', '0', '3', '0', '5', '2']","['1', '2', '3', '4']",[],[],2.09
21.08.2024,Bertola R.,2,,,,,,"['2', '0']","['3', '2', '6', '3']",[],[],[],1.06
21.08.2024,Reitano S.,0,,,,,,[],[],[],[],[],7.70
14.08.2024,Sakellaridis D.,2,,,,,,"['2', '0', '3', '1', '4', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],6.47
14.08.2024,Reitano S.,0,,,,,,"['1', '2', '2', '3']","['1', '5']",[],[],[],1.09
