Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Rome (Italy),clay,header
22.04. 15:05,Travaglia S.,2,6,6,,,,2,3,59%,71% (27/38),42% (11/26),60% (3/5),40% (12/30),62% (13/21),63% (5/8),59% (38/64),49% (25/51),55% (63/115),8,0,78% (7/9),56% (5/9),67% (12/18),[],[],[],[],[],1.23
22.04. 15:05,Jubb P.,0,4,2,,,,1,2,59%,60% (18/30),38% (8/21),38% (3/8),29% (11/38),58% (15/26),40% (2/5),51% (26/51),41% (26/64),45% (52/115),2,1,44% (4/9),22% (2/9),33% (6/18),[],[],[],[],[],3.90
CHALLENGER MEN - SINGLES :  Rome (Italy) - Qualification,clay,header
21.04. 15:25,Travaglia S.,2,4,7^7,7^7,,,11,2,57%,73% (44/60),65% (30/46),60% (3/5),22% (17/78),47% (18/38),9% (1/11),70% (74/106),30% (35/116),49% (109/222),8,0,88% (15/17),6% (1/17),47% (16/34),[],[],[],[],[],1.51
21.04. 15:25,Vesely J.,1,6,6^5,6^2,,,13,7,67%,78% (61/78),53% (20/38),91% (10/11),27% (16/60),35% (16/46),40% (2/5),70% (81/116),30% (32/106),51% (113/222),2,0,94% (16/17),12% (2/17),53% (18/34),[],[],[],[],[],2.46
20.04. 17:00,Travaglia S.,2,6,6,,,,0,0,63%,81% (21/26),60% (9/15),0% (0/1),59% (16/27),55% (12/22),63% (5/8),73% (30/41),57% (28/49),64% (58/90),5,0,88% (7/8),63% (5/8),75% (12/16),[],[],[],[],[],0
20.04. 17:00,Rossolino S.,0,3,1,,,,1,2,55%,41% (11/27),45% (10/22),38% (3/8),19% (5/26),40% (6/15),100% (1/1),43% (21/49),27% (11/41),36% (32/90),5,0,38% (3/8),13% (1/8),25% (4/16),[],[],[],[],[],0
CHALLENGER MEN - SINGLES :  Oeiras 3 (Portugal),clay,header
17.04. 20:15,Travaglia S.,0,4,6^12,,,,5,1,63%,61% (36/59),51% (18/35),50% (4/8),26% (12/46),52% (17/33),50% (3/6),57% (54/94),37% (29/79),48% (83/173),4,1,64% (7/11),27% (3/11),45% (10/22),[],[],[],[],[],2.11
17.04. 20:15,Barrere G.,2,6,7^14,,,,6,1,58%,74% (34/46),48% (16/33),50% (3/6),39% (23/59),49% (17/35),50% (4/8),63% (50/79),43% (40/94),52% (90/173),6,0,73% (8/11),36% (4/11),55% (12/22),[],[],[],[],[],1.68
