Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
29.04.2024,De Jong J.,2,,,,,,2,1,55%,83% (20/24),70% (14/20),0% (0/0),44% (11/25),65% (13/20),80% (4/5),77% (34/44),53% (24/45),65% (58/89),9,0,100% (8/8),57% (4/7),80% (12/15),"['2', '0', '6', '2']","['2', '0', '5', '1']",[],[],[],1.20
29.04.2024,Nouza P.,0,,,,,,3,4,56%,56% (14/25),35% (7/20),20% (1/5),17% (4/24),30% (6/20),0% (0/0),47% (21/45),23% (10/44),35% (31/89),1,0,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],4.29
05.02.2024,Bertola R.,2,,,,,,4,2,66%,83% (29/35),44% (8/18),0% (0/0),47% (14/30),55% (6/11),57% (4/7),70% (37/53),49% (20/41),61% (57/94),6,0,100% (8/8),57% (4/7),80% (12/15),"['3', '1', '6', '2']","['2', '0', '4', '0']",[],[],[],2.59
05.02.2024,Nouza P.,0,,,,,,6,3,73%,53% (16/30),45% (5/11),43% (3/7),17% (6/35),56% (10/18),0% (0/0),51% (21/41),30% (16/53),39% (37/94),4,1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],1.47
04.02.2024,Nouza P.,2,,,,,,14,4,69%,78% (53/68),53% (16/30),86% (6/7),26% (16/62),48% (10/21),22% (2/9),70% (69/98),31% (26/83),52% (95/181),5,0,93% (14/15),14% (2/14),55% (16/29),[],"['5', '3']","['3', '2']",[],[],2.53
04.02.2024,Gerasimov E.,1,,,,,,8,1,75%,74% (46/62),52% (11/21),78% (7/9),22% (15/68),47% (14/30),14% (1/7),69% (57/83),30% (29/98),48% (86/181),5,4,86% (12/14),7% (1/15),45% (13/29),"['3', '2']",[],[],[],[],1.49
13.11.2023,Neuchrist M.,2,,,,,,12,2,69%,71% (61/86),63% (24/38),88% (7/8),18% (11/62),41% (14/34),50% (2/4),69% (85/124),26% (25/96),50% (110/220),94% (16/17),13% (2/16),55% (18/33),"['4', '4']",[],"['3', '1']",[],[],1.55
13.11.2023,Nouza P.,1,,,,,,24,8,65%,82% (51/62),59% (20/34),50% (2/4),29% (25/86),37% (14/38),13% (1/8),74% (71/96),31% (39/124),50% (110/220),88% (14/16),6% (1/17),45% (15/33),"['4', '3']",[],[],[],[],2.36
12.11.2023,Nouza P.,2,,,,,,9,5,67%,77% (41/53),58% (15/26),33% (1/3),28% (12/43),43% (22/51),25% (2/8),71% (56/79),36% (34/94),52% (90/173),83% (10/12),17% (2/12),50% (12/24),"['2', '1']","['5', '5']",[],[],[],1.76
12.11.2023,Bertola R.,0,,,,,,2,7,46%,72% (31/43),57% (29/51),75% (6/8),23% (12/53),42% (11/26),67% (2/3),64% (60/94),29% (23/79),48% (83/173),83% (10/12),17% (2/12),50% (12/24),"['5', '5']","['3', '2']",[],[],[],1.98
05.11.2023,Maestrelli F.,2,,,,,,8,4,58%,78% (39/50),50% (18/36),83% (5/6),33% (20/60),48% (12/25),22% (2/9),66% (57/86),38% (32/85),52% (89/171),91% (10/11),18% (2/11),55% (12/22),[],"['2', '1', '4', '3']",[],[],[],1.56
05.11.2023,Nouza P.,0,,,,,,6,5,71%,67% (40/60),52% (13/25),78% (7/9),22% (11/50),50% (18/36),17% (1/6),62% (53/85),34% (29/86),48% (82/171),82% (9/11),9% (1/11),45% (10/22),[],"['2', '2']",[],[],[],2.43
29.10.2023,Zuk K.,2,,,,,,8,3,57%,79% (31/39),70% (21/30),100% (1/1),16% (6/38),54% (13/24),50% (1/2),75% (52/69),31% (19/62),54% (71/131),100% (11/11),10% (1/10),57% (12/21),[],"['2', '0']",[],[],[],1.76
29.10.2023,Nouza P.,0,,,,,,10,5,61%,84% (32/38),46% (11/24),50% (1/2),21% (8/39),30% (9/30),0% (0/1),69% (43/62),25% (17/69),46% (60/131),90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],1.98
21.09.2023,Ramos A.,2,,,,,,1,2,60%,74% (23/31),76% (16/21),100% (1/1),33% (9/27),50% (11/22),50% (3/6),75% (39/52),41% (20/49),58% (59/101),100% (9/9),38% (3/8),71% (12/17),"['3', '1', '6', '2']","['3', '1']",[],[],[],1.27
21.09.2023,Nouza P.,0,,,,,,7,2,55%,67% (18/27),50% (11/22),50% (3/6),26% (8/31),24% (5/21),0% (0/1),59% (29/49),25% (13/52),42% (42/101),63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],3.56
