Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Genova (Italy),clay,header
04.09. 14:40,Bueno G.,0,3,2,,,,1,2,70%,59% (19/32),14% (2/14),33% (2/6),34% (17/50),40% (6/15),20% (1/5),5,46% (21/46),35% (23/65),40% (44/111),1,50% (4/8),11% (1/9),29% (5/17),"['1', '0']",[],[],[],[],3.58
04.09. 14:40,Passaro F.,2,6,6,,,,0,0,77%,66% (33/50),60% (9/15),80% (4/5),41% (13/32),86% (12/14),67% (4/6),10,65% (42/65),54% (25/46),60% (67/111),3,89% (8/9),50% (4/8),71% (12/17),"['1', '1', '4', '2']","['1', '0', '4', '1']",[],[],[],1.27
02.09. 15:05,Bueno G.,2,7,7^8,,,,0,4,71%,63% (44/70),43% (12/28),69% (9/13),37% (19/51),60% (25/42),33% (5/15),6,57% (56/98),47% (44/93),52% (100/191),4,67% (8/12),42% (5/12),54% (13/24),"['2', '1', '6', '5']","['1', '0', '2', '1', '4', '5']",[],[],[],1.85
02.09. 15:05,Weis A.,0,5,6^6,,,,1,3,55%,63% (32/51),40% (17/42),67% (10/15),37% (26/70),57% (16/28),31% (4/13),7,53% (49/93),43% (42/98),48% (91/191),4,58% (7/12),33% (4/12),46% (11/24),"['2', '2']","['1', '1', '2', '2', '4', '2']",[],[],[],1.89
CHALLENGER MEN - SINGLES :  Como (Italy),clay,header
26.08. 21:10,Bueno G.,0,1,6^2,,,,2,7,58%,63% (24/38),43% (12/28),64% (7/11),24% (10/41),37% (10/27),20% (1/5),7,55% (36/66),29% (20/68),42% (56/134),3,60% (6/10),11% (1/9),37% (7/19),[],"['2', '3']",[],[],[],2.38
26.08. 21:10,Piros Z.,2,6,7^7,,,,1,1,60%,76% (31/41),63% (17/27),80% (4/5),37% (14/38),57% (16/28),36% (4/11),6,71% (48/68),45% (30/66),58% (78/134),9,89% (8/9),40% (4/10),63% (12/19),"['2', '1', '4', '1', '6', '1']","['2', '0']",[],[],[],1.55
CHALLENGER MEN - SINGLES :  San Marino (San Marino),clay,header
29.07. 19:55,Bueno G.,0,2,1,,,,0,5,63%,59% (26/44),31% (8/26),64% (7/11),26% (8/31),40% (10/25),0% (0/4),3,49% (34/70),32% (18/56),41% (52/126),1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],2.76
29.07. 19:55,Cerundolo J. M.,2,6,6,,,,3,0,55%,74% (23/31),60% (15/25),100% (4/4),41% (18/44),69% (18/26),36% (4/11),7,68% (38/56),51% (36/70),59% (74/126),5,100% (8/8),57% (4/7),80% (12/15),"['3', '1', '6', '2']","['2', '0', '5', '1']",[],[],[],1.42
