Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
19.08.,Paul J.,2,,,,,,2,2,60%,68% (19/28),79% (15/19),100% (1/1),23% (5/22),74% (17/23),80% (4/5),16,26,50% (2/4),72% (34/47),49% (22/45),61% (56/92),5,0,100% (8/8),50% (4/8),75% (12/16),"['3', '2', '5', '2']","['1', '0', '4', '1']",[],[],[],20.5
19.08.,Wendelken H.,0,,,,,,1,3,49%,77% (17/22),26% (6/23),20% (1/5),32% (9/28),21% (4/19),0% (0/1),5,33,50% (1/2),51% (23/45),28% (13/47),39% (36/92),5,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.73
18.08.,Wendelken H.,2,,,,,,3,1,54%,65% (20/31),58% (15/26),50% (2/4),53% (17/32),71% (15/21),67% (6/9),11,19,75% (6/8),61% (35/57),60% (32/53),61% (67/110),7,0,75% (6/8),75% (6/8),75% (12/16),"['1', '1', '4', '2', '6', '2']","['2', '0', '4', '0', '6', '2']",[],[],[],19.0
18.08.,Raquillet L.,0,,,,,,1,6,60%,47% (15/32),29% (6/21),33% (3/9),35% (11/31),42% (11/26),50% (2/4),16,44,67% (4/6),40% (21/53),39% (22/57),39% (43/110),3,0,25% (2/8),25% (2/8),25% (4/16),"['1', '0']","['1', '4']",[],[],[],1.68
17.08.,Wendelken H.,2,,,,,,1,1,67%,73% (19/26),85% (11/13),0% (0/1),56% (24/43),42% (11/26),38% (5/13),9,28,100% (2/2),77% (30/39),51% (35/69),60% (65/108),7,0,88% (7/8),56% (5/9),71% (12/17),"['3', '2', '4', '3']","['2', '1', '4', '1', '6', '1']",[],[],[],0
17.08.,Nouchakis G.,0,,,,,,1,0,62%,44% (19/43),58% (15/26),62% (8/13),27% (7/26),15% (2/13),100% (1/1),5,47,38% (3/8),49% (34/69),23% (9/39),40% (43/108),3,1,44% (4/9),13% (1/8),29% (5/17),"['3', '3']",[],[],[],[],0
14.08.,Jodar R.,2,,,,,,10,4,59%,85% (39/46),38% (12/32),71% (5/7),48% (25/52),37% (10/27),38% (5/13),34,54,83% (10/12),65% (51/78),44% (35/79),55% (86/157),7,0,85% (11/13),42% (5/12),64% (16/25),"['2', '0', '4', '0', '6', '0']",[],"['2', '0', '5', '3']",[],[],19.5
14.08.,Wendelken H.,1,,,,,,2,1,66%,52% (27/52),63% (17/27),62% (8/13),15% (7/46),63% (20/32),29% (2/7),12,32,50% (3/6),56% (44/79),35% (27/78),45% (71/157),3,0,58% (7/12),15% (2/13),36% (9/25),[],"['3', '2']","['2', '3']",[],[],1.61
13.08.,Wendelken H.,2,,,,,,0,4,60%,57% (27/47),55% (17/31),56% (5/9),37% (19/51),59% (20/34),40% (6/15),10,33,67% (2/3),56% (44/78),46% (39/85),51% (83/163),6,0,67% (8/12),46% (6/13),56% (14/25),"['1', '0']","['3', '2', '5', '2']","['2', '1', '4', '1', '6', '3']",[],[],20.5
13.08.,Ivashka I.,1,,,,,,3,5,60%,63% (32/51),41% (14/34),60% (9/15),43% (20/47),45% (14/31),44% (4/9),32,65,75% (9/12),54% (46/85),44% (34/78),49% (80/163),4,1,54% (7/13),33% (4/12),44% (11/25),"['1', '1', '3', '1', '6', '2']",[],"['3', '5']",[],[],1.64
12.08.,Wendelken H.,2,,,,,,0,1,63%,61% (20/33),68% (13/19),50% (2/4),43% (18/42),62% (18/29),67% (6/9),7,31,50% (7/14),63% (33/52),51% (36/71),56% (69/123),7,0,78% (7/9),60% (6/10),68% (13/19),"['1', '0', '3', '0', '4', '1', '6', '1']","['4', '4', '7', '5']",[],[],[],19.5
12.08.,Poullain L.,0,,,,,,1,1,59%,57% (24/42),38% (11/29),33% (3/9),39% (13/33),32% (6/19),50% (2/4),15,50,62% (8/13),49% (35/71),37% (19/52),44% (54/123),3,0,40% (4/10),22% (2/9),32% (6/19),"['1', '3']","['2', '1']",[],[],[],1.38
08.08.,Searle H.,2,,,,,,[],"['2', '2', '3', '3', '6', '4']","['2', '0', '5', '1']",[],[],20.5
08.08.,Wendelken H.,1,,,,,,"['3', '2', '5', '2']","['1', '0', '3', '2']",[],[],[],1.60
07.08.,Wendelken H.,2,,,,,,"['2', '1']","['3', '2', '5', '2']",[],[],[],1.70
07.08.,Bonding O.,0,,,,,,[],[],[],[],[],21.0
06.08.,Wendelken H.,2,,,,,,"['3', '2', '5', '4']","['1', '0', '3', '0']",[],[],[],1.22
06.08.,Barbier Gazeu P.,0,,,,,,"['3', '3']","['3', '5']",[],[],[],3.91
16.07.,Batista D.,2,,,,,,"['5', '3']",[],"['3', '1', '4', '2', '6', '4']",[],[],11.50
16.07.,Wendelken H.,1,,,,,,[],"['2', '0', '4', '0']","['2', '3', '3', '4']",[],[],1.01
09.07.,Pinnington Jones J.,2,,,,,,7,9,57%,66% (39/59),50% (22/44),60% (6/10),28% (15/53),64% (25/39),45% (5/11),59% (61/103),43% (40/92),52% (101/195),5,0,73% (11/15),36% (5/14),55% (16/29),"['2', '0', '4', '2', '6', '4']","['3', '3']","['2', '0']",[],[],1.28
09.07.,Wendelken H.,1,,,,,,8,3,58%,72% (38/53),36% (14/39),55% (6/11),34% (20/59),50% (22/44),40% (4/10),57% (52/92),41% (42/103),48% (94/195),5,0,64% (9/14),27% (4/15),45% (13/29),"['2', '3', '4', '5']","['2', '1', '4', '3']",[],[],[],3.47
08.07.,Wendelken H.,2,,,,,,1,2,57%,67% (18/27),85% (17/20),100% (1/1),41% (14/34),63% (10/16),67% (4/6),74% (35/47),48% (24/50),61% (59/97),5,0,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '6', '3']","['2', '0', '4', '0']",[],[],[],1.61
08.07.,Brady P.,0,,,,,,2,3,68%,59% (20/34),38% (6/16),33% (2/6),33% (9/27),15% (3/20),0% (0/1),52% (26/50),26% (12/47),39% (38/97),5,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],2.23
09.06.,Cassone M.,2,,,,,,6,2,70%,71% (37/52),45% (10/22),50% (3/6),34% (16/47),53% (16/30),44% (4/9),64% (47/74),42% (32/77),52% (79/151),5,0,73% (8/11),36% (4/11),55% (12/22),"['6', '6']","['1', '0', '3', '0', '4', '3']",[],[],[],1.37
09.06.,Wendelken H.,0,,,,,,2,2,61%,66% (31/47),47% (14/30),56% (5/9),29% (15/52),55% (12/22),50% (3/6),58% (45/77),36% (27/74),48% (72/151),5,0,64% (7/11),27% (3/11),45% (10/22),"['6', '5']","['1', '3', '3', '3']",[],[],[],2.93
09.06.,Wendelken H.,2,,,,,,5,0,68%,76% (26/34),75% (12/16),0% (0/0),30% (12/40),57% (12/21),33% (3/9),76% (38/50),39% (24/61),56% (62/111),7,0,100% (9/9),30% (3/10),63% (12/19),"['4', '3']","['4', '3', '6', '3']",[],[],[],2.56
09.06.,Gueymard Wayenburg S.,0,,,,,,7,4,66%,70% (28/40),43% (9/21),67% (6/9),24% (8/34),25% (4/16),0% (0/0),61% (37/61),24% (12/50),44% (49/111),3,1,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],1.47
27.05.,Yevseyev D.,2,,,,,,5,3,60%,63% (26/41),48% (13/27),38% (3/8),33% (13/39),62% (23/37),100% (7/7),57% (39/68),47% (36/76),52% (75/144),5,0,62% (8/13),54% (7/13),58% (15/26),"['1', '2', '3', '2']","['1', '1', '3', '1', '5', '1']","['1', '0', '5', '2']",[],[],1.47
27.05.,Wendelken H.,1,,,,,,7,6,51%,67% (26/39),38% (14/37),0% (0/7),37% (15/41),52% (14/27),63% (5/8),53% (40/76),43% (29/68),48% (69/144),5,1,46% (6/13),38% (5/13),42% (11/26),"['2', '0', '3', '3', '5', '3']","['1', '0']","['3', '5']",[],[],2.56
26.05.,Wendelken H.,2,,,,,,3,0,55%,67% (32/48),62% (24/39),50% (3/6),34% (22/65),52% (16/31),40% (4/10),64% (56/87),40% (38/96),51% (94/183),6,0,80% (12/15),27% (4/15),53% (16/30),"['1', '0', '5', '4']",[],"['3', '2', '5', '2']",[],[],1.69
26.05.,Papamalamis T.,1,,,,,,8,2,68%,66% (43/65),48% (15/31),60% (6/10),33% (16/48),38% (15/39),50% (3/6),60% (58/96),36% (31/87),49% (89/183),4,1,73% (11/15),20% (3/15),47% (14/30),"['3', '3']","['6', '4']","['3', '5']",[],[],2.07
25.05.,Wendelken H.,2,,,,,,1,0,43%,75% (12/16),81% (17/21),100% (3/3),41% (14/34),65% (26/40),28% (5/18),78% (29/37),54% (40/74),62% (69/111),5,0,100% (7/7),71% (5/7),86% (12/14),"['1', '0', '3', '0', '6', '1']","['2', '0', '4', '0']",[],[],[],1.04
25.05.,Salazar D.,0,,,,,,9,4,46%,59% (20/34),35% (14/40),72% (13/18),25% (4/16),19% (4/21),0% (0/3),46% (34/74),22% (8/37),38% (42/111),5,3,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],9.20
18.05.,Colson T.,2,,,,,,15,3,64%,74% (31/42),58% (14/24),50% (1/2),38% (11/29),48% (11/23),43% (3/7),68% (45/66),42% (22/52),57% (67/118),5,0,90% (9/10),33% (3/9),63% (12/19),"['3', '1']","['2', '3', '4', '3']",[],[],[],1.69
18.05.,Wendelken H.,0,,,,,,4,1,56%,62% (18/29),52% (12/23),57% (4/7),26% (11/42),42% (10/24),50% (1/2),58% (30/52),32% (21/66),43% (51/118),5,0,67% (6/9),10% (1/10),37% (7/19),[],"['3', '1']",[],[],[],2.07
08.05.,Martin A.,2,,,,,,"['3', '1']","['2', '3', '3', '4', '6', '5']",[],[],[],1.47
08.05.,Wendelken H.,0,,,,,,[],"['2', '0', '4', '2']",[],[],[],2.53
