Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.08.,Zhang M.,2,,,,,,"['4', '2']","['1', '0', '6', '5']","['1', '0', '3', '0', '6', '1']",[],[],19.0
13.08.,Chen X. D.,1,,,,,,"['4', '5']","['5', '5']",[],[],[],1.65
11.06.,Huang T.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0', '6', '1']",[],[],[],1.26
11.06.,Chen X. D.,0,,,,,,[],[],[],[],[],3.54
05.06.,Te R.,2,,,,,,"['4', '4', '6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],1.09
05.06.,Chen X. D.,0,,,,,,"['4', '3']",[],[],[],[],6.05
04.06.,Chen X. D.,2,,,,,,"['3', '1', '6', '4']","['2', '0', '4', '4']","['2', '1', '5', '4']",[],[],1.42
04.06.,Horiuchi R.,1,,,,,,"['2', '3']","['2', '3', '4', '3']","['2', '2']",[],[],2.69
27.05.,Zeng Y.,2,,,,,,[],"['3', '1', '4', '2']","['1', '0', '4', '1']",[],[],1.55
27.05.,Chen X. D.,1,,,,,,"['6', '5']","['2', '3']",[],[],[],2.32
20.05.,Isomura K.,2,,,,,,"['1', '0', '4', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.17
20.05.,Chen X. D.,0,,,,,,[],[],[],[],[],4.57
13.05.,Yamasaki J.,2,,,,,,"['2', '1', '3', '2', '4', '3', '6', '3']","['2', '0', '4', '0']",[],[],[],1.23
13.05.,Chen X. D.,0,,,,,,"['2', '2', '3', '3']",[],[],[],[],3.79
07.05.,Haliak M.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '5', '2']",[],[],[],1.19
07.05.,Chen X. D.,0,,,,,,[],[],[],[],[],4.28
02.05.,Brumm J.,2,,,,,,"['1', '0', '6', '3']","['2', '2', '4', '2']",[],[],[],1.37
02.05.,Chen X. D.,0,,,,,,[],"['1', '0']",[],[],[],2.88
01.05.,Chen X. D.,2,,,,,,"['2', '2', '4', '2']","['2', '0']","['2', '1', '3', '2', '5', '2']",[],[],3.30
01.05.,Zhao L.,1,,,,,,"['2', '1', '3', '4', '5', '4']",[],"['2', '2']",[],[],1.30
29.04.,Chen X. D.,2,,,,,,"['2', '0', '4', '4']","['1', '0', '3', '2', '5', '2']",[],[],[],3.72
29.04.,Lee D. H.,0,,,,,,"['1', '2', '3', '2']","['1', '1']",[],[],[],1.24
23.04.,Zhu E.,2,,,,,,"['2', '0', '5', '3']","['1', '0', '3', '0', '5', '2']",[],[],[],1.32
23.04.,Chen X. D.,0,,,,,,"['2', '3']","['1', '3']",[],[],[],3.14
05.03.,Leong M. W. K.,2,,,,,,"['1', '1', '3', '1', '5', '1', '6', '2']",[],[],[],[],1.11
05.03.,Chen X. D.,0,,,,,,"['1', '0', '2', '5']",[],[],[],[],5.45
01.01.,Vithoontien L.,2,,,,,,"['1', '0', '2', '3', '3', '4', '5', '4', '6', '5']","['3', '1', '6', '2']",[],[],[],1.63
01.01.,Chen X. D.,0,,,,,,"['1', '1', '3', '1', '4', '2', '5', '5']",[],[],[],[],2.16
20.12.2024,Tokuda R.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],1.18
20.12.2024,Chen X. D.,0,,,,,,[],[],[],[],[],4.32
19.12.2024,Sornlaksup P.,1,,,,,,"['3', '1', '5', '5']","['1', '0']",[],[],[],1.21
19.12.2024,Chen X. D.,1,,,,,,"['3', '4', '5', '4']","['4', '4', '6', '4']",[],[],[],4.08
18.12.2024,Chen X. D.,2,,,,,,"['1', '0', '3', '2', '4', '3', '6', '5']","['2', '0', '4', '0', '6', '0']",[],[],[],1.34
18.12.2024,Iutkin I.,0,,,,,,"['1', '1', '3', '3', '4', '4', '6', '6']",[],[],[],[],3.23
30.10.2024,Zeng Y.,2,,,,,,"['2', '2', '5', '3']","['2', '1', '4', '1']",[],[],[],1.35
30.10.2024,Chen X. D.,0,,,,,,"['2', '1']",[],[],[],[],2.99
14.10.2024,Purtseladze S.,2,,,,,,8,1,63%,80% (24/30),67% (12/18),100% (4/4),39% (11/28),60% (15/25),50% (4/8),75% (36/48),49% (26/53),61% (62/101),8,0,100% (8/8),50% (4/8),75% (12/16),"['3', '2', '6', '3']","['3', '1', '5', '1']",[],[],[],1.17
14.10.2024,Chen X. D.,0,,,,,,1,3,53%,61% (17/28),40% (10/25),50% (4/8),20% (6/30),33% (6/18),0% (0/4),51% (27/53),25% (12/48),39% (39/101),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],4.70
19.09.2024,Haliak M.,2,,,,,,"['1', '0', '2', '1', '5', '2']","['1', '0', '3', '0']",[],[],[],1.43
19.09.2024,Chen X. D.,0,,,,,,"['1', '1', '3', '5']",[],[],[],[],2.68
18.09.2024,Chen X. D.,2,,,,,,"['1', '0', '4', '5', '6', '5']",[],"['4', '2']",[],[],-
18.09.2024,Sim S.,1,,,,,,"['1', '1', '5', '3']","['2', '0', '4', '0']",[],[],[],-
28.08.2024,Zakharov A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['4', '2']",[],[],[],1.06
28.08.2024,Chen X. D.,0,,,,,,[],[],[],[],[],7.90
