Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
11.01.2024,Molcan A.,2,,,,,,3,3,74%,73% (35/48),29% (5/17),71% (5/7),55% (18/33),42% (10/24),50% (5/10),18,34,60% (6/10),62% (40/65),49% (28/57),56% (68/122),6,0,78% (7/9),50% (5/10),63% (12/19),"['2', '1']","['2', '1', '4', '1', '5', '2', '6', '3']",[],[],[],1.48
11.01.2024,Millman J.,0,,,,,,3,0,58%,45% (15/33),58% (14/24),50% (5/10),27% (13/48),71% (12/17),29% (2/7),12,34,67% (6/9),51% (29/57),38% (25/65),44% (54/122),4,0,50% (5/10),22% (2/9),37% (7/19),[],"['2', '4', '3', '5']",[],[],[],2.60
10.01.2024,Millman J.,2,,,,,,2,1,68%,73% (32/44),48% (10/21),83% (5/6),29% (9/31),58% (11/19),60% (3/5),12,24,69% (11/16),65% (42/65),40% (20/50),54% (62/115),6,0,90% (9/10),33% (3/9),63% (12/19),"['3', '1']","['2', '1', '5', '4']",[],[],[],1.31
10.01.2024,Giannessi A.,0,,,,,,3,7,62%,71% (22/31),42% (8/19),40% (2/5),27% (12/44),52% (11/21),17% (1/6),13,27,62% (8/13),60% (30/50),35% (23/65),46% (53/115),4,0,67% (6/9),10% (1/10),37% (7/19),[],"['3', '3']",[],[],[],3.38
25.08.2023,Travaglia S.,2,,,,,,16,6,54%,86% (38/44),45% (17/38),40% (2/5),30% (14/47),49% (20/41),100% (3/3),31,30,100% (5/5),67% (55/82),39% (34/88),52% (89/170),79% (11/14),21% (3/14),50% (14/28),[],"['1', '0']","['3', '1', '6', '2']",[],[],2.44
25.08.2023,Millman J.,1,,,,,,4,2,53%,70% (33/47),51% (21/41),0% (0/3),14% (6/44),55% (21/38),60% (3/5),22,37,67% (10/15),61% (54/88),33% (27/82),48% (81/170),79% (11/14),21% (3/14),50% (14/28),"['3', '1', '6', '2']","['4', '4']",[],[],[],1.53
23.08.2023,Millman J.,2,,,,,,3,2,58%,67% (29/43),52% (16/31),67% (6/9),40% (16/40),57% (20/35),63% (5/8),26,30,73% (8/11),61% (45/74),48% (36/75),54% (81/149),73% (8/11),45% (5/11),59% (13/22),"['1', '0', '2', '1', '4', '3']","['2', '1', '6', '5']",[],[],[],2.87
23.08.2023,Tabilo A.,0,,,,,,5,5,53%,60% (24/40),43% (15/35),38% (3/8),33% (14/43),48% (15/31),33% (3/9),15,26,29% (2/7),52% (39/75),39% (29/74),46% (68/149),55% (6/11),27% (3/11),41% (9/22),"['1', '1', '3', '3']","['4', '4']",[],[],[],1.40
14.02.2023,Droguet T.,2,,,,,,9,1,51%,82% (27/33),50% (16/32),80% (4/5),38% (12/32),50% (12/24),60% (3/5),66% (43/65),43% (24/56),55% (67/121),90% (9/10),33% (3/9),63% (12/19),"['4', '2', '6', '4']","['3', '1']",[],[],[],3.90
14.02.2023,Millman J.,0,,,,,,1,2,57%,63% (20/32),50% (12/24),40% (2/5),18% (6/33),50% (16/32),20% (1/5),57% (32/56),34% (22/65),45% (54/121),67% (6/9),10% (1/10),37% (7/19),"['3', '4']",[],[],[],[],1.23
18.01.2023,Medvedev D.,3,,,,,,10,3,68%,75% (50/67),32% (10/31),57% (4/7),47% (25/53),64% (18/28),62% (8/13),33,32,75% (12/16),61% (60/98),53% (43/81),58% (103/179),79% (11/14),57% (8/14),68% (19/28),"['1', '0', '2', '1', '5', '4', '6', '5']","['2', '1', '4', '1']","['1', '0', '4', '1']",[],[],1.02
18.01.2023,Millman J.,0,,,,,,0,1,65%,53% (28/53),36% (10/28),38% (5/13),25% (17/67),68% (21/31),43% (3/7),16,40,71% (15/21),47% (38/81),39% (38/98),42% (76/179),43% (6/14),21% (3/14),32% (9/28),"['1', '1', '3', '3', '5', '5']",[],[],[],[],15.20
16.01.2023,Millman J.,3,,,,,,9,3,68%,78% (90/116),55% (30/55),80% (4/5),29% (30/105),42% (27/65),45% (5/11),61,39,83% (20/24),70% (120/171),33% (56/169),52% (176/340),96% (26/27),19% (5/26),58% (31/53),[],"['6', '5']","['4', '5']","['2', '0', '6', '2']","['3', '1']",2.22
16.01.2023,Huesler M.,2,,,,,,20,1,62%,71% (75/105),58% (38/65),55% (6/11),22% (26/116),45% (25/55),20% (1/5),69,55,61% (37/61),67% (113/169),30% (51/171),48% (164/340),81% (21/26),4% (1/27),42% (22/53),[],[],"['3', '1']",[],[],1.68
11.01.2023,Davidovich Fokina A.,2,,,,,,4,1,66%,74% (26/35),72% (13/18),67% (2/3),38% (11/29),57% (13/23),40% (4/10),19,9,73% (8/11),74% (39/53),46% (24/52),60% (63/105),89% (8/9),44% (4/9),67% (12/18),"['3', '2', '6', '3']","['1', '1', '3', '1']",[],[],[],1.40
11.01.2023,Millman J.,0,,,,,,1,4,56%,62% (18/29),43% (10/23),60% (6/10),26% (9/35),28% (5/18),33% (1/3),8,14,70% (7/10),54% (28/52),26% (14/53),40% (42/105),56% (5/9),11% (1/9),33% (6/18),[],"['1', '0']",[],[],[],3.00
10.01.2023,Millman J.,2,,,,,,7,1,71%,69% (53/77),47% (15/32),50% (3/6),37% (25/68),28% (7/25),33% (3/9),32,32,62% (68/109),34% (32/93),50% (100/202),81% (13/16),20% (3/15),52% (16/31),[],"['2', '0']","['1', '2', '4', '3']",[],[],1.56
10.01.2023,Ramos A.,1,,,,,,7,0,73%,63% (43/68),72% (18/25),67% (6/9),31% (24/77),53% (17/32),50% (3/6),27,22,66% (61/93),38% (41/109),50% (102/202),80% (12/15),19% (3/16),48% (15/31),"['2', '1']",[],"['2', '0', '4', '4']",[],[],2.45
