Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,Monteiro T.,2,,,,,,6,1,69%,76% (28/37),53% (9/17),33% (1/3),34% (12/35),65% (11/17),57% (4/7),69% (37/54),44% (23/52),57% (60/106),9,0,80% (8/10),44% (4/9),63% (12/19),"['1', '1', '5', '3']","['1', '0', '5', '4']",[],[],[],1.35
27.08.,Martin A.,0,,,,,,3,2,67%,66% (23/35),35% (6/17),43% (3/7),24% (9/37),47% (8/17),67% (2/3),56% (29/52),31% (17/54),43% (46/106),1,1,56% (5/9),20% (2/10),37% (7/19),"['1', '0']","['1', '1']",[],[],[],3.04
25.08.,Martin A.,2,,,,,,6,2,57%,85% (29/34),50% (13/26),100% (3/3),35% (16/46),60% (12/20),75% (3/4),70% (42/60),42% (28/66),56% (70/126),7,0,100% (9/9),30% (3/10),63% (12/19),"['2', '1']","['2', '1', '6', '3']",[],[],[],2.12
25.08.,Jianu F. C.,0,,,,,,1,1,70%,65% (30/46),40% (8/20),25% (1/4),15% (5/34),50% (13/26),0% (0/3),58% (38/66),30% (18/60),44% (56/126),3,0,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],1.67
18.08.,Dedura D.,2,,,,,,1,1,59%,71% (24/34),46% (11/24),92% (11/12),46% (12/26),73% (22/30),40% (6/15),18,20,100% (6/6),60% (35/58),61% (34/56),61% (69/114),8,0,86% (6/7),86% (6/7),86% (12/14),"['2', '2', '4', '2', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],[],1.58
18.08.,Martin A.,0,,,,,,1,9,46%,54% (14/26),27% (8/30),60% (9/15),29% (10/34),54% (13/24),8% (1/12),14,40,58% (7/12),39% (22/56),40% (23/58),39% (45/114),2,0,14% (1/7),14% (1/7),14% (2/14),"['2', '1']",[],[],[],[],19.5
31.07.,Mrva M.,2,,,,,,2,6,56%,65% (37/57),41% (18/44),45% (5/11),47% (25/53),46% (17/37),60% (6/10),54% (55/101),47% (42/90),51% (97/191),8,0,60% (9/15),43% (6/14),52% (15/29),"['2', '2', '3', '5']","['1', '0', '3', '2']","['3', '2', '5', '4']",[],[],1.36
31.07.,Martin A.,1,,,,,,5,3,59%,53% (28/53),54% (20/37),40% (4/10),35% (20/57),59% (26/44),55% (6/11),53% (48/90),46% (46/101),49% (94/191),2,0,57% (8/14),40% (6/15),48% (14/29),"['2', '1', '3', '2', '5', '2', '6', '3']","['2', '2']","['4', '4']",[],[],2.99
29.07.,Martin A.,2,,,,,,7,6,57%,75% (47/63),58% (28/48),71% (5/7),26% (15/58),49% (19/39),80% (4/5),68% (75/111),35% (34/97),52% (109/208),7,0,88% (14/16),25% (4/16),56% (18/32),"['2', '1']","['5', '3']","['3', '2', '5', '2']",[],[],1.63
29.07.,Vasa E.,1,,,,,,6,5,60%,74% (43/58),51% (20/39),20% (1/5),25% (16/63),42% (20/48),29% (2/7),65% (63/97),32% (36/111),48% (99/208),3,1,75% (12/16),13% (2/16),44% (14/32),"['4', '4']","['4', '5']",[],[],[],2.19
20.07.,Hanfmann Y.,2,,,,,,4,0,71%,83% (24/29),67% (8/12),0% (0/0),47% (17/36),50% (15/30),44% (4/9),17,21,67% (2/3),78% (32/41),48% (32/66),60% (64/107),5,0,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '4', '1', '6', '1']","['3', '1']",[],[],[],1.25
20.07.,Martin A.,0,,,,,,0,5,55%,53% (19/36),50% (15/30),56% (5/9),17% (5/29),33% (4/12),0% (0/0),4,29,50% (2/4),52% (34/66),22% (9/41),40% (43/107),5,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.70
19.07.,Martin A.,2,,,,,,2,6,59%,83% (30/36),52% (13/25),100% (4/4),31% (9/29),73% (11/15),75% (3/4),21,27,75% (9/12),70% (43/61),45% (20/44),60% (63/105),5,0,100% (9/9),38% (3/8),71% (12/17),"['3', '1', '5', '1']","['2', '1']",[],[],[],2.25
19.07.,Prado Angelo J. C.,0,,,,,,1,2,66%,69% (20/29),27% (4/15),25% (1/4),17% (6/36),48% (12/25),0% (0/4),8,27,100% (4/4),55% (24/44),30% (18/61),40% (42/105),5,1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],1.65
13.07.,Monteiro T.,2,,,,,,2,2,65%,79% (26/33),78% (14/18),0% (0/0),40% (19/47),54% (15/28),43% (3/7),23,20,75% (6/8),78% (40/51),45% (34/75),59% (74/126),8,0,100% (10/10),33% (3/9),68% (13/19),"['7', '5']","['3', '1', '5', '1']",[],[],[],1.41
13.07.,Martin A.,0,,,,,,1,1,63%,60% (28/47),46% (13/28),57% (4/7),21% (7/33),22% (4/18),0% (0/0),14,30,69% (9/13),55% (41/75),22% (11/51),41% (52/126),2,0,67% (6/9),0% (0/10),32% (6/19),[],[],[],[],[],2.77
11.07.,Forejtek J.,2,,,,,,"['2', '0']","['3', '3', '6', '4']","['2', '0']",[],[],2.33
11.07.,Martin A.,1,,,,,,"['1', '2', '4', '3']","['1', '0']",[],[],[],1.55
10.07.,Martin A.,2,,,,,,"['1', '2', '5', '4']","['2', '1']",[],[],[],1.47
10.07.,Wiskandt M.,0,,,,,,"['2', '0']",[],[],[],[],2.53
08.07.,Martin A.,2,,,,,,"['1', '1', '3', '1', '6', '2']","['1', '1', '3', '1', '6', '2']",[],[],[],1.95
08.07.,Agamenone F.,0,,,,,,"['1', '0']","['1', '0']",[],[],[],1.76
23.06.,Gakhov I.,2,,,,,,5,9,45%,78% (35/45),44% (24/55),75% (9/12),31% (15/49),58% (30/52),33% (4/12),59% (59/100),45% (45/101),52% (104/201),7,0,79% (11/14),29% (4/14),54% (15/28),"['1', '4']","['3', '1', '5', '1']","['4', '3']",[],[],1.67
23.06.,Martin A.,1,,,,,,3,8,49%,69% (34/49),42% (22/52),67% (8/12),22% (10/45),56% (31/55),25% (3/12),55% (56/101),41% (41/100),48% (97/201),3,0,71% (10/14),21% (3/14),46% (13/28),"['2', '0', '4', '0']",[],"['5', '5']",[],[],2.12
16.06.,Cecchinato M.,2,,,,,,1,2,69%,68% (28/41),56% (10/18),33% (1/3),39% (13/33),64% (18/28),80% (4/5),64% (38/59),51% (30/59),58% (68/118),7,0,80% (8/10),44% (4/9),63% (12/19),"['3', '1', '5', '1']","['2', '3', '4', '3']",[],[],[],1.87
16.06.,Martin A.,0,,,,,,2,4,54%,61% (20/33),36% (10/28),20% (1/5),32% (13/41),44% (8/18),67% (2/3),49% (29/59),36% (21/59),42% (50/118),3,1,56% (5/9),20% (2/10),37% (7/19),[],"['3', '1', '4', '4']",[],[],[],1.85
15.06.,Martin A.,2,,,,,,1,2,66%,90% (28/31),56% (9/16),100% (3/3),40% (17/43),59% (10/17),33% (3/9),14,17,83% (5/6),79% (37/47),45% (27/60),60% (64/107),8,0,100% (9/9),33% (3/9),67% (12/18),"['1', '0', '6', '3']","['5', '3']",[],[],[],1.42
15.06.,Sakellaridis S.,0,,,,,,2,2,72%,60% (26/43),41% (7/17),67% (6/9),10% (3/31),44% (7/16),0% (0/3),16,32,63% (5/8),55% (33/60),21% (10/47),40% (43/107),2,0,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],2.73
11.06.,Nava E.,2,,,,,,5,1,60%,92% (22/24),44% (7/16),100% (2/2),33% (7/21),71% (17/24),71% (5/7),73% (29/40),53% (24/45),62% (53/85),7,0,100% (7/7),71% (5/7),86% (12/14),"['3', '1', '5', '1']","['1', '0', '4', '1', '6', '1']",[],[],[],1.18
11.06.,Martin A.,0,,,,,,0,7,47%,67% (14/21),29% (7/24),29% (2/7),8% (2/24),56% (9/16),0% (0/2),47% (21/45),28% (11/40),38% (32/85),3,0,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],4.56
02.06.,Karol M.,2,,,,,,5,4,56%,65% (37/57),50% (22/44),50% (2/4),38% (19/50),42% (18/43),33% (2/6),58% (59/101),40% (37/93),49% (96/194),8,0,83% (10/12),17% (2/12),50% (12/24),"['3', '1']","['4', '5']",[],[],[],2.46
02.06.,Martin A.,0,,,,,,1,2,54%,62% (31/50),58% (25/43),67% (4/6),35% (20/57),50% (22/44),50% (2/4),60% (56/93),42% (42/101),51% (98/194),2,0,83% (10/12),17% (2/12),50% (12/24),"['2', '3']","['5', '3']",[],[],[],1.51
01.06.,Martin A.,2,,,,,,3,0,61%,56% (15/27),71% (12/17),60% (3/5),56% (14/25),84% (21/25),54% (7/13),61% (27/44),70% (35/50),66% (62/94),8,0,71% (5/7),88% (7/8),80% (12/15),"['1', '0', '3', '0', '5', '0']","['1', '0', '2', '3', '4', '3', '6', '3']",[],[],[],2.28
