Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
02.02.,Marchenko I.,0,,,,,,0,0,83%,20% (1/5),100% (1/1),50% (1/2),50% (1/2),67% (4/6),100% (1/1),33% (2/6),63% (5/8),50% (7/14),5,0,0% (0/1),100% (1/1),50% (1/2),"['1', '0']",[],[],[],[],1.39
02.02.,Hewitt C.,0,,,,,,1,1,25%,50% (1/2),33% (2/6),0% (0/1),80% (4/5),0% (0/1),50% (1/2),38% (3/8),67% (4/6),50% (7/14),5,0,0% (0/1),100% (1/1),50% (1/2),"['1', '1']",[],[],[],[],2.85
28.01.,Langmo C.,2,,,,,,12,2,67%,91% (32/35),35% (6/17),100% (2/2),21% (7/33),61% (19/31),38% (3/8),73% (38/52),41% (26/64),55% (64/116),6,0,100% (9/9),30% (3/10),63% (12/19),"['3', '2']","['4', '3', '6', '3']",[],[],[],1.54
28.01.,Marchenko I.,0,,,,,,5,5,52%,79% (26/33),39% (12/31),63% (5/8),9% (3/35),65% (11/17),0% (0/2),59% (38/64),27% (14/52),45% (52/116),4,3,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],2.38
27.01.,Marchenko I.,2,,,,,,6,6,60%,78% (38/49),53% (17/32),75% (3/4),21% (11/53),78% (14/18),60% (3/5),68% (55/81),35% (25/71),53% (80/152),5,0,92% (12/13),23% (3/13),58% (15/26),[],"['5', '3']","['2', '1', '4', '1']",[],[],1.53
27.01.,Braithwaite T.,1,,,,,,10,5,75%,79% (42/53),22% (4/18),40% (2/5),22% (11/49),47% (15/32),25% (1/4),65% (46/71),32% (26/81),47% (72/152),5,0,77% (10/13),8% (1/13),42% (11/26),"['2', '0']",[],[],[],[],2.40
26.01.,Marchenko I.,2,,,,,,18,8,55%,78% (47/60),51% (25/49),78% (7/9),34% (24/71),57% (13/23),42% (5/12),66% (72/109),39% (37/94),54% (109/203),8,0,87% (13/15),33% (5/15),60% (18/30),"['1', '1']","['1', '0', '5', '4']","['1', '0', '5', '2']",[],[],1.44
26.01.,Charlton J.,1,,,,,,7,1,76%,66% (47/71),43% (10/23),58% (7/12),22% (13/60),49% (24/49),22% (2/9),61% (57/94),34% (37/109),46% (94/203),2,0,67% (10/15),13% (2/15),40% (12/30),"['1', '0']","['4', '4']",[],[],[],2.66
27.10.2024,Royer V.,2,,,,,,11,3,69%,76% (47/62),39% (11/28),40% (2/5),33% (15/46),54% (20/37),56% (5/9),64% (58/90),42% (35/83),54% (93/173),8,0,80% (12/15),36% (5/14),59% (17/29),"['2', '0']","['2', '0', '6', '4']","['3', '1', '5', '1']",[],[],1.50
27.10.2024,Marchenko I.,1,,,,,,10,2,55%,67% (31/46),46% (17/37),44% (4/9),24% (15/62),61% (17/28),60% (3/5),58% (48/83),36% (32/90),46% (80/173),2,0,64% (9/14),20% (3/15),41% (12/29),"['4', '5', '6', '5']","['2', '3']",[],[],[],2.48
13.10.2024,Bu Y.,2,,,,,,7,1,66%,76% (29/38),60% (12/20),0% (0/1),27% (7/26),58% (15/26),75% (3/4),17,19,63% (5/8),71% (41/58),42% (22/52),57% (63/110),6,0,90% (9/10),33% (3/9),63% (12/19),"['3', '3', '5', '3']","['3', '2']",[],[],[],1.12
13.10.2024,Marchenko I.,0,,,,,,7,5,50%,73% (19/26),42% (11/26),25% (1/4),24% (9/38),40% (8/20),100% (1/1),20,29,75% (3/4),58% (30/52),29% (17/58),43% (47/110),4,0,67% (6/9),10% (1/10),37% (7/19),"['2', '1']",[],[],[],[],5.76
08.10.2024,Ramanathan R.,2,,,,,,14,14,51%,82% (49/60),52% (30/58),80% (8/10),18% (10/56),54% (20/37),80% (4/5),66% (78/118),32% (30/93),51% (108/211),6,0,88% (14/16),25% (4/16),56% (18/32),"['4', '2']","['1', '0']","['1', '2', '3', '2']",[],[],2.12
08.10.2024,Marchenko I.,1,,,,,,11,4,60%,82% (46/56),46% (17/37),20% (1/5),20% (12/60),48% (28/58),20% (2/10),68% (63/93),34% (40/118),49% (103/211),4,0,75% (12/16),13% (2/16),44% (14/32),"['4', '5']",[],"['2', '0']",[],[],1.67
