Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M25 Zaragoza (Spain),clay,header
01.10. 21:30,Rincon D.,0,4,3,,,,"['2', '2']","['2', '2']",[],[],[],1.62
01.10. 21:30,Montes-De La Torre I.,2,6,6,,,,"['2', '1', '4', '3']","['2', '1', '4', '3', '6', '3']",[],[],[],2.18
CHALLENGER MEN - SINGLES :  Lisbon (Portugal),clay,header
24.09. 16:25,Rincon D.,0,6^2,4,,,,5,2,68%,67% (32/48),43% (10/23),40% (2/5),31% (17/55),54% (14/26),29% (2/7),5,59% (42/71),38% (31/81),48% (73/152),3,73% (8/11),18% (2/11),45% (10/22),[],"['1', '1', '3', '1']",[],[],[],1.66
24.09. 16:25,Piros Z.,2,7^7,6,,,,2,2,68%,69% (38/55),46% (12/26),71% (5/7),33% (16/48),57% (13/23),60% (3/5),7,62% (50/81),41% (29/71),52% (79/152),4,82% (9/11),27% (3/11),55% (12/22),[],"['1', '0', '2', '3', '4', '3']",[],[],[],2.14
CHALLENGER MEN - SINGLES :  Lisbon (Portugal) - Qualification,clay,header
23.09. 18:55,Rincon D.,2,7^10,6,,,,5,2,67%,71% (37/52),54% (14/26),75% (3/4),30% (13/43),48% (14/29),67% (2/3),6,65% (51/78),38% (27/72),52% (78/150),5,91% (10/11),20% (2/10),57% (12/21),"['3', '2']","['2', '0']",[],[],[],1.76
23.09. 18:55,Brancaccio R.,0,6^8,3,,,,3,2,60%,70% (30/43),52% (15/29),33% (1/3),29% (15/52),46% (12/26),25% (1/4),6,63% (45/72),35% (27/78),48% (72/150),2,80% (8/10),9% (1/11),43% (9/21),"['3', '3']",[],[],[],[],1.97
22.09. 19:30,Rincon D.,2,4,7^7,6,,,4,2,65%,71% (47/66),58% (21/36),78% (7/9),25% (15/60),53% (19/36),67% (2/3),5,67% (68/102),35% (34/96),52% (102/198),4,88% (14/16),13% (2/16),50% (16/32),[],[],"['2', '1', '4', '1']",[],[],1.11
22.09. 19:30,Rocha F.,1,6,6^3,4,,,3,5,63%,75% (45/60),47% (17/36),33% (1/3),29% (19/66),42% (15/36),22% (2/9),6,65% (62/96),33% (34/102),48% (96/198),3,88% (14/16),13% (2/16),50% (16/32),"['3', '2']",[],"['2', '4']",[],[],6.03
ATP - SINGLES :  US Open (USA) - Qualification,hard,header
19.08. 22:50,Rincon D.,0,3,2,,,,1,2,61%,74% (23/31),35% (7/20),57% (4/7),20% (8/40),55% (11/20),0% (0/7),15,24,71% (10/14),5,59% (30/51),32% (19/60),44% (49/111),1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],1.64
19.08. 22:50,Gaubas V.,2,6,6,,,,4,2,67%,80% (32/40),45% (9/20),100% (7/7),26% (8/31),65% (13/20),43% (3/7),17,18,40% (4/10),8,68% (41/60),41% (21/51),56% (62/111),5,100% (9/9),38% (3/8),71% (12/17),"['3', '1']","['3', '2', '5', '2']",[],[],[],2.10
CHALLENGER MEN - SINGLES :  Cordenons (Italy),clay,header
05.08. 20:25,Rincon D.,1,6,4,4,,,0,10,56%,71% (42/59),34% (16/47),64% (9/14),47% (20/43),40% (18/45),67% (4/6),8,55% (58/106),43% (38/88),49% (96/194),2,67% (10/15),29% (4/14),48% (14/29),"['3', '1', '4', '2']","['2', '1']","['1', '0']",[],[],1.35
05.08. 20:25,Blockx A.,2,3,6,6,,,4,3,49%,53% (23/43),60% (27/45),33% (2/6),29% (17/59),66% (31/47),36% (5/14),7,57% (50/88),45% (48/106),51% (98/194),4,71% (10/14),33% (5/15),52% (15/29),"['2', '3']","['2', '2', '6', '4']","['4', '4', '6', '4']",[],[],3.07
CHALLENGER MEN - SINGLES :  Tampere (Finland),clay,header
