Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.08.,Yin B. S.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '4', '1']",[],[],[],1.28
26.08.,Hoogland J.,0,,,,,,[],[],[],[],[],3.40
19.08.,Erel Y.,2,,,,,,"['5', '4']","['1', '0', '3', '0']",[],[],[],-
19.08.,Yin B. S.,0,,,,,,[],[],[],[],[],-
29.10.2024,Jang Y.,2,,,,,,"['2', '0', '5', '3']","['1', '0', '3', '0', '5', '2']",[],[],[],1.56
29.10.2024,Yin B. S.,0,,,,,,"['3', '4']","['1', '3']",[],[],[],2.30
20.10.2024,King E.,2,,,,,,5,1,58%,80% (36/45),58% (19/33),80% (4/5),23% (13/57),61% (17/28),33% (3/9),71% (55/78),35% (30/85),52% (85/163),7,0,92% (12/13),21% (3/14),56% (15/27),"['3', '2']",[],"['3', '1', '6', '2']",[],[],1.69
20.10.2024,Yin B. S.,1,,,,,,7,6,67%,77% (44/57),39% (11/28),67% (6/9),20% (9/45),42% (14/33),20% (1/5),65% (55/85),29% (23/78),48% (78/163),3,1,79% (11/14),8% (1/13),44% (12/27),[],"['5', '3']",[],[],[],1.96
25.09.2024,Tang S.,2,,,,,,[],"['6', '5']","['4', '3', '6', '3']",[],[],1.48
25.09.2024,Yin B. S.,1,,,,,,"['6', '4']",[],[],[],[],2.50
18.09.2024,Park Y. J.,2,,,,,,"['3', '1', '5', '1']","['3', '2']",[],[],[],2.53
18.09.2024,Yin B. S.,0,,,,,,[],[],[],[],[],1.48
05.09.2024,Winter E.,2,,,,,,"['4', '3', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],1.19
05.09.2024,Yin B. S.,0,,,,,,"['5', '5']",[],[],[],[],4.30
07.08.2024,Shin W.,2,,,,,,"['5', '3']","['4', '3']",[],[],[],1.17
07.08.2024,Yin B. S.,0,,,,,,[],[],[],[],[],4.61
01.08.2024,Hsu Y. H.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0', '4', '0']",[],[],[],1.13
01.08.2024,Yin B. S.,0,,,,,,[],[],[],[],[],5.46
31.07.2024,Yin B. S.,2,,,,,,"['3', '2', '6', '3']","['2', '0', '4', '0']",[],[],[],1.39
31.07.2024,Papac T. E.,0,,,,,,[],[],[],[],[],2.83
14.05.2024,Ramanathan R.,2,,,,,,5,1,63%,71% (32/45),65% (17/26),100% (5/5),33% (13/40),50% (11/22),67% (2/3),69% (49/71),39% (24/62),55% (73/133),6,0,100% (10/10),20% (2/10),60% (12/20),"['2', '1']","['1', '0']",[],[],[],1.05
14.05.2024,Yin B. S.,0,,,,,,4,1,65%,68% (27/40),50% (11/22),33% (1/3),29% (13/45),35% (9/26),0% (0/5),61% (38/62),31% (22/71),45% (60/133),4,1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],8.70
10.11.2023,Trongcharoenchaikul W.,2,,,,,,[],[],[],[],[],1.35
10.11.2023,Yin B. S.,0,,,,,,[],[],[],[],[],2.99
09.11.2023,Yin B. S.,2,,,,,,[],[],[],[],[],1.34
09.11.2023,Kunsuwan N.,1,,,,,,[],[],[],[],[],3.04
08.11.2023,Yin B. S.,1,,,,,,[],[],[],[],[],4.94
08.11.2023,Samrej K.,0,,,,,,[],[],[],[],[],1.15
28.10.2023,Takahashi Y.,2,,,,,,2,1,68%,77% (23/30),57% (8/14),67% (2/3),47% (18/38),52% (12/23),56% (5/9),70% (31/44),49% (30/61),58% (61/105),88% (7/8),56% (5/9),71% (12/17),"['1', '0', '3', '2', '5', '2']",[],[],[],[],1.22
28.10.2023,Yin B. S.,0,,,,,,0,2,62%,53% (20/38),48% (11/23),44% (4/9),23% (7/30),43% (6/14),33% (1/3),51% (31/61),30% (13/44),42% (44/105),44% (4/9),13% (1/8),29% (5/17),"['1', '1']",[],[],[],[],4.02
21.10.2023,Seggerman R.,2,,,,,,7,7,62%,87% (33/38),39% (9/23),60% (3/5),42% (23/55),50% (13/26),44% (4/9),69% (42/61),44% (36/81),55% (78/142),80% (8/10),36% (4/11),57% (12/21),"['3', '3']","['2', '1', '4', '3', '6', '3']",[],[],[],1.16
21.10.2023,Yin B. S.,0,,,,,,0,5,68%,58% (32/55),50% (13/26),56% (5/9),13% (5/38),61% (14/23),40% (2/5),56% (45/81),31% (19/61),45% (64/142),64% (7/11),20% (2/10),43% (9/21),"['2', '1']","['3', '3']",[],[],[],4.79
12.09.2023,Bu Y.,2,,,,,,7,1,62%,85% (22/26),63% (10/16),0% (0/0),37% (14/38),61% (14/23),50% (4/8),76% (32/42),46% (28/61),58% (60/103),100% (8/8),44% (4/9),71% (12/17),"['1', '0', '5', '2']","['2', '1', '6', '3']",[],[],[],1.06
12.09.2023,Yin B. S.,0,,,,,,2,3,62%,63% (24/38),39% (9/23),50% (4/8),15% (4/26),38% (6/16),0% (0/0),54% (33/61),24% (10/42),42% (43/103),56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],8.10
11.09.2023,Yin B. S.,2,,,,,,8,5,63%,82% (45/55),34% (11/32),85% (11/13),26% (14/53),59% (22/37),50% (3/6),64% (56/87),40% (36/90),52% (92/177),83% (10/12),25% (3/12),54% (13/24),"['3', '1', '6', '6']","['6', '5']",[],[],[],2.66
11.09.2023,Barki J.,0,,,,,,5,5,59%,74% (39/53),41% (15/37),50% (3/6),18% (10/55),66% (21/32),15% (2/13),60% (54/90),36% (31/87),48% (85/177),75% (9/12),17% (2/12),46% (11/24),"['4', '5', '6', '5']",[],[],[],[],1.44
