Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES :  Shanghai (China),hard,header
02.10. 17:00,Gerasimov E.,1,7^7,3,4,,,10,1,65%,71% (47/66),57% (20/35),67% (4/6),23% (14/61),17% (4/24),0% (0/0),26,26,52% (11/21),4,66% (67/101),21% (18/85),46% (85/186),1,87% (13/15),0% (0/16),42% (13/31),[],[],[],[],[],3.74
02.10. 17:00,Daniel T.,2,6^5,6,6,,,6,0,72%,77% (47/61),83% (20/24),0% (0/0),29% (19/66),43% (15/35),33% (2/6),29,14,83% (10/12),7,79% (67/85),34% (34/101),54% (101/186),3,100% (16/16),13% (2/15),58% (18/31),[],"['4', '2']","['4', '3']",[],[],1.29
ATP - SINGLES :  Shanghai (China) - Qualification,hard,header
01.10. 13:00,Gerasimov E.,2,6^3,6,7^8,,,14,0,66%,73% (52/71),67% (24/36),50% (1/2),31% (24/77),34% (10/29),33% (2/6),41,51,70% (23/33),4,71% (76/107),32% (34/106),52% (110/213),3,94% (16/17),13% (2/16),55% (18/33),"['3', '2']","['5', '3']",[],[],[],3.15
01.10. 13:00,Moro Canas A.,1,7^7,3,6^6,,,4,0,73%,69% (53/77),66% (19/29),67% (4/6),27% (19/71),33% (12/36),50% (1/2),32,49,92% (12/13),7,68% (72/106),29% (31/107),48% (103/213),2,88% (14/16),6% (1/17),45% (15/33),"['3', '3']",[],[],[],[],1.33
30.09. 14:00,Gerasimov E.,2,7^7,4,6,,,16,4,67%,80% (56/70),51% (18/35),60% (3/5),22% (13/58),38% (11/29),50% (2/4),38,36,65% (15/23),5,70% (74/105),28% (24/87),51% (98/192),3,88% (14/16),13% (2/15),52% (16/31),[],[],"['2', '0', '5', '3']",[],[],3.70
30.09. 14:00,Marterer M.,1,6^4,6,3,,,12,1,67%,78% (45/58),62% (18/29),50% (2/4),20% (14/70),49% (17/35),40% (2/5),37,35,75% (6/8),5,72% (63/87),30% (31/105),49% (94/192),3,87% (13/15),13% (2/16),48% (15/31),[],"['5', '4']","['2', '3']",[],[],1.25
CHALLENGER MEN - SINGLES :  Nonthaburi 4 (Thailand),hard,header
25.09. 10:15,Gerasimov E.,0,1,2,,,,2,5,56%,62% (18/29),26% (6/23),58% (7/12),19% (6/32),58% (7/12),0% (0/1),4,46% (24/52),30% (13/44),39% (37/96),1,38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],2.81
25.09. 10:15,Yevseyev D.,2,6,6,,,,5,1,73%,81% (26/32),42% (5/12),100% (1/1),38% (11/29),74% (17/23),42% (5/12),7,70% (31/44),54% (28/52),61% (59/96),5,100% (7/7),63% (5/8),80% (12/15),"['1', '0', '4', '1', '6', '1']","['4', '2', '6', '2']",[],[],[],1.40
ATP - SINGLES :  Chengdu (China) - Qualification,hard,header
17.09. 13:50,Gerasimov E.,0,4,1,,,,4,7,55%,61% (19/31),44% (11/25),50% (4/8),6% (1/17),6% (1/17),0% (0/0),10,36,100% (3/3),4,54% (30/56),6% (2/34),36% (32/90),1,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],3.76
17.09. 13:50,Tu L.,2,6,6,,,,4,0,50%,94% (16/17),94% (16/17),0% (0/0),39% (12/31),56% (14/25),50% (4/8),11,15,100% (1/1),9,94% (32/34),46% (26/56),64% (58/90),6,100% (8/8),44% (4/9),71% (12/17),"['3', '2']","['2', '1', '4', '1', '6', '1']",[],[],[],1.25
CHALLENGER MEN - SINGLES :  Guangzhou 2 (China),hard,header
10.09. 07:40,Gerasimov E.,0,4,5,,,,9,3,53%,79% (22/28),60% (15/25),0% (0/3),27% (12/44),32% (6/19),14% (1/7),5,70% (37/53),29% (18/63),47% (55/116),3,73% (8/11),9% (1/11),41% (9/22),[],"['2', '1']",[],[],[],2.14
10.09. 07:40,Gomez F. A.,2,6,7,,,,9,1,70%,73% (32/44),68% (13/19),86% (6/7),21% (6/28),40% (10/25),100% (3/3),9,71% (45/63),30% (16/53),53% (61/116),3,91% (10/11),27% (3/11),59% (13/22),"['6', '4']","['3', '3', '7', '5']",[],[],[],1.67
CHALLENGER MEN - SINGLES :  Shanghai (China),hard,header
02.09. 15:05,Gerasimov E.,0,6^4,1,,,,4,1,79%,60% (33/55),40% (6/15),60% (6/10),24% (10/42),57% (13/23),17% (1/6),5,56% (39/70),35% (23/65),46% (62/135),2,60% (6/10),11% (1/9),37% (7/19),"['4', '3']",[],[],[],[],3.07
02.09. 15:05,Wong C.,2,7^7,6,,,,8,2,65%,76% (32/42),43% (10/23),83% (5/6),40% (22/55),60% (9/15),40% (4/10),6,65% (42/65),44% (31/70),54% (73/135),4,89% (8/9),40% (4/10),63% (12/19),"['4', '4']","['1', '0', '4', '1', '6', '1']",[],[],[],1.35
CHALLENGER MEN - SINGLES :  Zhangjiagang (China),hard,header
27.08. 15:55,Gerasimov E.,0,6^5,3,,,,12,3,56%,86% (31/36),46% (13/28),50% (1/2),25% (14/55),49% (26/53),0% (0/11),5,69% (44/64),37% (40/108),49% (84/172),1,90% (9/10),0% (0/11),43% (9/21),[],[],[],[],[],1.09
27.08. 15:55,Tang S.,2,7^7,6,,,,9,4,51%,75% (41/55),51% (27/53),100% (11/11),14% (5/36),54% (15/28),50% (1/2),5,63% (68/108),31% (20/64),51% (88/172),3,100% (11/11),10% (1/10),57% (12/21),[],"['5', '3']",[],[],[],6.75
CHALLENGER MEN - SINGLES :  Porto (Portugal),hard,header
29.07. 21:05,Gerasimov E.,1,3,7^7,1,,,6,4,62%,75% (39/52),44% (14/32),67% (8/12),24% (15/63),45% (17/38),13% (1/8),8,63% (53/84),32% (32/101),46% (85/185),3,69% (9/13),7% (1/15),36% (10/28),[],"['3', '1']",[],[],[],5.22
29.07. 21:05,Klein L.,2,6,6^4,6,,,6,7,62%,76% (48/63),55% (21/38),88% (7/8),25% (13/52),56% (18/32),33% (4/12),6,68% (69/101),37% (31/84),54% (100/185),3,93% (14/15),31% (4/13),64% (18/28),"['4', '2']","['4', '5']","['2', '0', '5', '1']",[],[],1.14
CHALLENGER MEN - SINGLES :  Segovia (Spain),hard,header
26.07. 00:15,Gerasimov E.,1,4,7^9,3,,,8,2,64%,81% (50/62),43% (15/35),60% (3/5),16% (11/68),45% (14/31),0% (0/1),6,67% (65/97),25% (25/99),46% (90/196),1,87% (13/15),0% (0/16),42% (13/31),[],[],[],[],[],1.68
26.07. 00:15,Alvarez Varona N.,2,6,6^7,6,,,16,7,69%,84% (57/68),55% (17/31),100% (1/1),19% (12/62),57% (20/35),40% (2/5),5,75% (74/99),33% (32/97),54% (106/196),3,100% (16/16),13% (2/15),58% (18/31),"['5', '4']",[],"['5', '3']",[],[],2.13
CHALLENGER MEN - SINGLES :  Pozoblanco (Spain),hard,header
20.07. 23:15,Gerasimov E.,1,6,6^5,1,,,7,6,62%,71% (48/68),50% (21/42),83% (15/18),19% (11/57),50% (19/38),25% (1/4),5,63% (69/110),32% (30/95),48% (99/205),3,80% (12/15),8% (1/13),46% (13/28),"['5', '3']",[],[],[],[],2.47
20.07. 23:15,Holmgren A.,2,3,7^7,6,,,12,8,60%,81% (46/57),50% (19/38),75% (3/4),29% (20/68),50% (21/42),17% (3/18),8,68% (65/95),37% (41/110),52% (106/205),4,92% (12/13),20% (3/15),54% (15/28),[],[],"['1', '0', '4', '1']",[],[],1.50
19.07. 21:40,Gerasimov E.,2,7,2,7^7,,,17,6,67%,75% (49/65),38% (12/32),50% (4/8),33% (26/79),50% (11/22),50% (3/6),5,63% (61/97),37% (37/101),49% (98/198),3,75% (12/16),19% (3/16),47% (15/32),"['4', '4', '7', '5']",[],"['4', '4']",[],[],1.66
19.07. 21:40,Damas M.,1,5,6,6^5,,,2,6,78%,67% (53/79),50% (11/22),50% (3/6),25% (16/65),63% (20/32),50% (4/8),10,63% (64/101),37% (36/97),51% (100/198),5,81% (13/16),25% (4/16),53% (17/32),"['2', '1']","['1', '0', '5', '2']","['1', '0']",[],[],2.13
17.07. 23:30,Gerasimov E.,2,4,6,6,,,5,4,67%,78% (45/58),59% (17/29),60% (3/5),24% (10/42),53% (20/38),60% (3/5),11,71% (62/87),38% (30/78),56% (92/165),3,87% (13/15),21% (3/14),55% (16/29),[],"['4', '2']","['2', '3', '5', '4']",[],[],1.29
17.07. 23:30,Donski A.,1,6,3,4,,,8,4,53%,71% (30/42),47% (18/38),40% (2/5),22% (13/58),41% (12/29),40% (2/5),8,62% (48/78),29% (25/87),44% (73/165),3,79% (11/14),13% (2/15),45% (13/29),"['2', '1']",[],"['2', '0']",[],[],3.43
16.07. 01:00,Gerasimov E.,2,7,6^5,6,,,12,5,53%,80% (43/54),58% (28/48),75% (3/4),26% (17/65),54% (15/28),50% (4/8),8,70% (71/102),34% (32/93),53% (103/195),3,94% (15/16),27% (4/15),61% (19/31),"['1', '0', '6', '5']",[],"['2', '0', '5', '1']",[],[],1.66
16.07. 01:00,Alvarez Varona N.,1,5,7^7,1,,,7,5,70%,74% (48/65),46% (13/28),50% (4/8),20% (11/54),42% (20/48),25% (1/4),5,66% (61/93),30% (31/102),47% (92/195),3,73% (11/15),6% (1/16),39% (12/31),"['3', '3']",[],[],[],[],2.16
CHALLENGER MEN - SINGLES :  Milan (Italy),clay,header
26.06. 13:40,Gerasimov E.,1,3,6,3,,,6,10,55%,74% (34/46),49% (18/37),80% (8/10),22% (10/46),47% (15/32),50% (2/4),7,63% (52/83),32% (25/78),48% (77/161),3,83% (10/12),15% (2/13),48% (12/25),[],"['2', '0', '5', '1']",[],[],[],1.82
26.06. 13:40,Gaio F.,2,6,1,6,,,2,3,59%,78% (36/46),53% (17/32),50% (2/4),26% (12/46),51% (19/37),20% (2/10),6,68% (53/78),37% (31/83),52% (84/161),3,85% (11/13),17% (2/12),52% (13/25),"['5', '3']",[],"['2', '0']",[],[],1.92
CHALLENGER MEN - SINGLES :  Sassuolo (Italy),clay,header
17.06. 17:40,Gerasimov E.,0,3,2,,,,1,3,47%,70% (14/20),30% (7/23),43% (3/7),29% (10/34),38% (11/29),25% (1/4),5,49% (21/43),33% (21/63),40% (42/106),1,50% (4/8),11% (1/9),29% (5/17),"['1', '0']",[],[],[],[],3.19
17.06. 17:40,Campana Lee G.,2,6,6,,,,1,5,54%,71% (24/34),62% (18/29),75% (3/4),30% (6/20),70% (16/23),57% (4/7),10,67% (42/63),51% (22/43),60% (64/106),5,89% (8/9),50% (4/8),71% (12/17),"['1', '1', '3', '1']","['3', '2', '5', '2']",[],[],[],1.33
CHALLENGER MEN - SINGLES :  Perugia (Italy),clay,header
11.06. 15:45,Gerasimov E.,0,4,2,,,,1,2,55%,52% (17/33),56% (15/27),60% (6/10),9% (2/23),30% (6/20),100% (1/1),5,53% (32/60),19% (8/43),39% (40/103),2,56% (5/9),11% (1/9),33% (6/18),"['2', '1']",[],[],[],[],2.50
11.06. 15:45,Giannessi A.,2,6,6,,,,1,2,53%,91% (21/23),70% (14/20),0% (0/1),48% (16/33),44% (12/27),40% (4/10),10,81% (35/43),47% (28/60),61% (63/103),5,89% (8/9),44% (4/9),67% (12/18),"['2', '2', '6', '4']","['2', '0', '6', '2']",[],[],[],1.50
CHALLENGER MEN - SINGLES :  Kachreti (Georgia),hard,header
23.05. 14:55,Gerasimov E.,0,3,3,,,,7,1,68%,63% (25/40),47% (9/19),25% (1/4),21% (8/39),54% (13/24),0% (0/7),5,58% (34/59),33% (21/63),45% (55/122),1,67% (6/9),0% (0/9),33% (6/18),[],[],[],[],[],1.66
23.05. 14:55,Bertrand R.,2,6,6,,,,4,2,62%,79% (31/39),46% (11/24),100% (7/7),38% (15/40),53% (10/19),75% (3/4),4,67% (42/63),42% (25/59),55% (67/122),4,100% (9/9),33% (3/9),67% (12/18),"['3', '1']","['4', '3', '6', '3']",[],[],[],2.13
