Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
25.05.,Sasikumar M.,2,,,,,,9,2,63%,73% (35/48),32% (9/28),67% (4/6),38% (11/29),63% (12/19),57% (4/7),58% (44/76),47% (23/49),54% (67/125),4,0,80% (8/10),44% (4/9),63% (12/19),"['2', '2', '5', '3']","['1', '0', '3', '2']",[],[],[],1.07
25.05.,Banthia S.,0,,,,,,3,3,60%,62% (18/29),42% (8/19),43% (3/7),27% (13/48),68% (19/28),33% (2/6),53% (26/49),42% (32/76),46% (58/125),6,0,56% (5/9),20% (2/10),37% (7/19),"['1', '0']","['1', '1']",[],[],[],7.10
04.05.,Pereira T.,2,,,,,,3,1,49%,71% (20/28),69% (20/29),80% (4/5),42% (15/36),48% (10/21),57% (4/7),70% (40/57),44% (25/57),57% (65/114),8,0,89% (8/9),40% (4/10),63% (12/19),"['1', '0', '4', '3']","['3', '2', '6', '3']",[],[],[],1.02
04.05.,Banthia S.,0,,,,,,0,1,63%,58% (21/36),52% (11/21),43% (3/7),29% (8/28),31% (9/29),20% (1/5),56% (32/57),30% (17/57),43% (49/114),2,1,60% (6/10),11% (1/9),37% (7/19),"['2', '2']",[],[],[],[],10.50
12.03.,Clarke J.,2,,,,,,"['5', '3']","['2', '1', '5', '2']",[],[],[],1.04
12.03.,Banthia S.,0,,,,,,[],[],[],[],[],8.20
16.02.,Vesely J.,2,,,,,,8,2,67%,86% (31/36),56% (10/18),100% (5/5),31% (10/32),61% (14/23),60% (3/5),76% (41/54),44% (24/55),60% (65/109),6,0,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '6', '2']","['5', '3']",[],[],[],1.02
16.02.,Banthia S.,0,,,,,,5,5,58%,69% (22/32),39% (9/23),40% (2/5),14% (5/36),44% (8/18),0% (0/5),56% (31/55),24% (13/54),40% (44/109),4,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],10.50
02.02.,Zhukov M.,2,,,,,,7,4,53%,89% (24/27),58% (14/24),100% (3/3),21% (4/19),66% (21/32),67% (4/6),75% (38/51),49% (25/51),62% (63/102),8,0,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '4', '1']","['1', '0', '5', '2']",[],[],[],1.24
02.02.,Banthia S.,0,,,,,,3,6,37%,79% (15/19),34% (11/32),33% (2/6),11% (3/27),42% (10/24),0% (0/3),51% (26/51),25% (13/51),38% (39/102),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],3.80
16.01.,Dzhavakian Y.,2,,,,,,"['2', '2', '4', '4', '6', '4']","['2', '0']",[],[],[],1.14
16.01.,Banthia S.,0,,,,,,"['2', '1', '3', '2']",[],[],[],[],4.90
15.01.,Banthia S.,2,,,,,,"['5', '4']","['1', '0', '6', '5']",[],[],[],1.38
15.01.,Aggarwal P.,0,,,,,,[],"['3', '3']",[],[],[],2.85
19.11.2024,Sureshkumar M.,2,,,,,,"['2', '0', '6', '6']","['1', '0']",[],[],[],1.55
19.11.2024,Banthia S.,0,,,,,,"['4', '5', '6', '5']",[],[],[],[],2.33
14.11.2024,Ganesan A.,2,,,,,,"['3', '1', '4', '2', '5', '3']","['3', '2', '4', '3', '6', '3']",[],[],[],1.23
14.11.2024,Banthia S.,0,,,,,,"['2', '3', '3', '4']","['3', '3']",[],[],[],3.81
13.11.2024,Banthia S.,2,,,,,,"['2', '1', '6', '5']","['1', '0', '2', '1', '4', '1']",[],[],[],2.99
13.11.2024,Vishwakarma S.,0,,,,,,"['3', '3']","['1', '1']",[],[],[],1.37
17.10.2024,Stice T.,2,,,,,,[],"['3', '2', '5', '2']","['1', '0', '2', '1', '4', '1']",[],[],1.31
17.10.2024,Banthia S.,1,,,,,,"['3', '1', '6', '2']",[],"['1', '1']",[],[],3.38
03.10.2024,Neuchrist M.,2,,,,,,"['2', '0']","['1', '0', '5', '2']",[],[],[],1.04
03.10.2024,Banthia S.,0,,,,,,[],[],[],[],[],8.85
01.10.2024,Banthia S.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '6', '5']",[],[],[],1.68
01.10.2024,Laborde A.,0,,,,,,[],"['2', '2', '6', '6']",[],[],[],2.06
26.09.2024,Houkes M.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '3', '0', '5', '0']",[],[],[],1.02
26.09.2024,Banthia S.,0,,,,,,[],[],[],[],[],10.60
25.09.2024,Banthia S.,2,,,,,,"['3', '2', '5', '2']","['2', '1']",[],[],[],1.09
25.09.2024,Ananth Mani M.,0,,,,,,[],[],[],[],[],6.39
25.08.2024,Domingues J.,2,,,,,,4,0,67%,69% (29/42),57% (12/21),67% (2/3),0 km/h,0 km/h,37% (15/41),67% (8/12),33% (3/9),65% (41/63),43% (23/53),55% (64/116),5,0,90% (9/10),33% (3/9),63% (12/19),"['2', '0', '4', '0']","['2', '1']",[],[],[],1.20
25.08.2024,Banthia S.,0,,,,,,2,2,77%,63% (26/41),33% (4/12),67% (6/9),0 km/h,0 km/h,31% (13/42),43% (9/21),33% (1/3),57% (30/53),35% (22/63),45% (52/116),5,1,67% (6/9),10% (1/10),37% (7/19),"['2', '5']",[],[],[],[],4.31
14.08.2024,Lanz M.,2,,,,,,"['2', '0', '3', '1']",[],"['5', '5', '7', '5']",[],[],1.19
14.08.2024,Banthia S.,1,,,,,,"['1', '2']","['4', '2']","['4', '3']",[],[],4.30
18.06.2024,Iannaccone F.,2,,,,,,3,5,66%,57% (35/61),59% (19/32),62% (8/13),31% (19/61),68% (21/31),67% (6/9),58% (54/93),43% (40/92),51% (94/185),7,0,67% (10/15),40% (6/15),53% (16/30),"['1', '0', '3', '2', '6', '3']","['3', '5']","['2', '3', '6', '5']",[],[],1.07
18.06.2024,Banthia S.,1,,,,,,8,3,66%,69% (42/61),32% (10/31),33% (3/9),43% (26/61),41% (13/32),38% (5/13),57% (52/92),42% (39/93),49% (91/185),3,0,60% (9/15),33% (5/15),47% (14/30),"['1', '1']","['1', '0', '3', '0', '6', '3']","['2', '0']",[],[],7.55
17.06.2024,Banthia S.,2,,,,,,5,8,57%,69% (44/64),51% (25/49),62% (8/13),30% (15/50),51% (21/41),44% (4/9),61% (69/113),40% (36/91),51% (105/204),9,0,71% (12/17),25% (4/16),48% (16/33),"['2', '4']","['5', '4', '6', '5']","['4', '5']",[],[],3.13
17.06.2024,Fancutt T. J.,1,,,,,,7,8,55%,70% (35/50),49% (20/41),56% (5/9),31% (20/64),49% (24/49),38% (5/13),60% (55/91),39% (44/113),49% (99/204),1,0,75% (12/16),29% (5/17),52% (17/33),"['1', '0', '4', '1', '6', '3']","['5', '5']","['4', '2']",[],[],1.34
13.06.2024,Bertrand R.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['1', '1', '3', '1']",[],[],[],1.05
13.06.2024,Banthia S.,0,,,,,,[],"['1', '0']",[],[],[],8.45
12.06.2024,Banthia S.,2,,,,,,"['1', '0', '3', '0', '6', '1']","['1', '1', '3', '1', '5', '1']",[],[],[],1.47
12.06.2024,Castro F. M.,0,,,,,,[],"['1', '0']",[],[],[],2.56
18.02.2024,Bonzi B.,2,,,,,,6,2,60%,74% (23/31),62% (13/21),33% (1/3),33% (11/33),64% (9/14),80% (4/5),69% (36/52),43% (20/47),57% (56/99),8,0,80% (8/10),44% (4/9),63% (12/19),"['3', '1', '4', '2']","['4', '3', '5', '4']",[],[],[],1.01
18.02.2024,Banthia S.,0,,,,,,3,1,70%,67% (22/33),36% (5/14),20% (1/5),26% (8/31),38% (8/21),67% (2/3),57% (27/47),31% (16/52),43% (43/99),2,0,56% (5/9),20% (2/10),37% (7/19),"['2', '3']","['4', '4']",[],[],[],13.50
26.10.2023,Kalyanpur A.,2,,,,,,[],[],[],[],[],3.10
26.10.2023,Banthia S.,0,,,,,,[],[],[],[],[],1.33
11.10.2023,Dev S D P.,2,,,,,,[],[],[],[],[],1.40
11.10.2023,Banthia S.,0,,,,,,[],[],[],[],[],2.78
10.10.2023,Banthia S.,2,,,,,,[],[],[],[],[],1.13
10.10.2023,Singh J.,0,,,,,,[],[],[],[],[],5.25
01.09.2023,Dzhavakian Y.,2,,,,,,[],[],[],[],[],1.33
01.09.2023,Banthia S.,0,,,,,,[],[],[],[],[],3.10
31.08.2023,Banthia S.,2,,,,,,[],[],[],[],[],2.13
31.08.2023,Vithoontien L.,1,,,,,,[],[],[],[],[],1.65
30.08.2023,Banthia S.,2,,,,,,[],[],[],[],[],1.18
30.08.2023,Kunsuwan N.,1,,,,,,[],[],[],[],[],4.42
24.08.2023,Altamirano C.,2,,,,,,[],[],[],[],[],1.58
24.08.2023,Banthia S.,0,,,,,,[],[],[],[],[],2.27
